Page ID,Page name,Disclaimer,Amount spent (GBP)
6574632957,Unlock Democracy,Unlock Democracy,678
109530251593095,The TaxHub,The TaxHub,677
749808528388551,Cancer Support UK,Cancer Support UK,670
112180125505122,National Deaf Children's Society,National Deaf Children's Society,661
1450681158291594,Counter Terrorism Police UK,UK Counter Terrorism Policing,653
98673036962,ROLDA,These ads ran without a disclaimer,653
491737347503074,Brooks Running,These ads ran without a disclaimer,650
8555757947,Tearfund,Tearfund,638
18044497940,Plan International UK,Plan International UK,638
757440877654306,History Hit,History Hit,637
21242962092,ClientEarth,ClientEarth,622
303760836322372,Bullen Healthcare,Bullen Healthcare,618
107458721218674,ADF UK,ADF UK,607
103835971750,Orbis UK,Orbis UK,606
195754307110390,Right To Life UK,Right To Life UK,606
310531132443420,Concern Worldwide UK,Concern Worldwide UK,603
13695746395,Guide Dogs UK,Guide Dogs,597
101644492465872,ASDA Worker Unpaid Wages Claims,These ads ran without a disclaimer,563
664726666907121,Plaid Cymru Islwyn,Plaid Islwyn Campaign,562
8807334278,Conservatives,The Conservative Party,561
6708565748,CBM UK,CBM UK,552
97951440478,Imperial War Museum London,Imperial War Museum London,550
40952091012,Asthma + Lung UK,Asthma + Lung UK,549
164471235877,Welsh Liberal Democrats,"and promoted by and on behalf of the Welsh Liberal Democrats, 15th Floor, Brunel House, 2 Fitzalan Road, Cardiff, CF24 0EB",547
221115152587,Times Literary Supplement,News Uk,539
19110072263,FOUR PAWS,FOUR PAWS GB,519
27770740767,Samaritans,Samaritans,512
117230778296352,Sky,Sky,510
471955216282664,Smart Energy GB,Smart Energy GB,508
107426157397329,Momentum Egyesült Királyság,Momentum Mozgalom,506
39556650565,League Against Cruel Sports,League Against Cruel Sports,503
123027101047606,Pancreatic Cancer UK,Pancreatic Cancer UK,491
415101195549544,Monmouth Constituency Labour Party,Monmouth Constituency Labour Party,483
453624597990055,The Separated Child Foundation,The Separated Child Foundation,473
110538548040758,Care2 UK,John Ayling & Associates,469
313376249090900,The Humane League UK,The Humane League UK,468
97116898596,Sightsavers,Sightsavers,451
169042736456594,All Out,All Out,448
452752128144314,Guardian B2B,Guardian B2B,429
32514078659,Liberty,Liberty,427
106919081066309,Bide,bide planet,422
274651352565844,Oltco Ltd,Oltco Ltd,420
1894814410844115,Cymru'n Gweithio,Llywodraeth Cymru,420
1634484040190637,VERSUS,VERSUS,403
601388547012748,Ecologi,Ecologi,401
139695000173,Good Energy,Good Energy,397
109530251593095,The TaxHub,TheTaxHub,397
1536244863288071,Terravesta,Terravesta,389
185677149392,HM Armed Forces,Ministry of Defence,389
26806660922,Humanists UK,Humanists UK,375
116183696884118,Mothers In Debt,Mums In Debt.,375
346684596111093,KinKind,KinKind Ltd,368
347769735608177,Grangetown Labour News,Grangetown Labour News,364
122052607808255,CAGE,CAGE,363
141356803345,Living Streets,Living Streets,359
365948210785448,Criminal Injuries Helpline,Criminal Injuries Helpline,357
319465674441,Game & Wildlife Conservation Trust (GWCT),Game & Wildlife Conservation Trust (GWCT),357
1721275931466984,The Reclaim Party,The Reclaim Party,355
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,353
764531490245013,Cauldron Foods,Cauldron Foods,352
154935524642756,NatWest,NatWest Group plc,349
101602743218479,Stop It Now! UK and Ireland,These ads ran without a disclaimer,347
581446088551851,Whitchurch Tongwynlais Labour,Marc Alan Palmer,345
822901467919618,OceanSaver,OceanSaver,344
100375849312830,Tax Claims,Tax Claims,335
100180329283051,Morrison's Worker Unpaid Wages Claims,These ads ran without a disclaimer,333
1795637400696546,Neath Port Talbot Labour,Stephanie Victoria Lynch,332
873550809444862,Mighty Earth,Mighty Earth,328
239362882786943,Young Epilepsy,Young Epilepsy,328
129770430376569,King's College London,King's College London,320
1807970796086865,Llanrumney Labour News,Llanrumney Labour (https://www.llanrumneylabour.com/),316
137660096284927,Child Poverty Action Group (UK) - CPAG,Child Poverty Action Group,316
147367822032616,Cyngor Sir Ceredigion,Cyngor Sir Ceredigion,308
97116898596,Sightsavers,Sightsavers,306
10677003998,Shelter,Shelter,304
77071765498,Leonard Cheshire,Leonard Cheshire,304
1617104905265679,Emma Dunning & Geraint Jones Labour Councillors for Ystrad and Gelli,Rhondda Labour,296
105213446201178,International Justice Mission,International Justice Mission,282
1172385236213955,The Canton Rose,The Canton Rose,281
109068935780411,Versus Arthritis,Versus Arthritis,281
100553032399423,The Fund for Global Human Rights UK,The Fund for Global Human Rights,277
114804090801479,Fortescue Future Industries,These ads ran without a disclaimer,275
1779925302259559,NILC Training,NILC Ltd.,274
106354815309730,SaveBritain.org,Save Britain,274
105500485484814,Dai Evans - Independent,David Benjamin Evans,273
1256993401047020,Caerau Labour News,Caerau Labour News,271
503951883021764,ShareTheMeal,These ads ran without a disclaimer,270
705825476138789,Hubbub,Hubbub,267
275241295879466,Blind Veterans UK,Blind Veterans UK,264
100378402126532,William Collins Books,HarperCollins Publishers UK,263
455081584898864,Great Britain SailGP Team,These ads ran without a disclaimer,263
164362913586214,Womankind Worldwide,Womankind Worldwide,259
194910160646478,Marie Curie - Wales,Marie Curie,255
105513815372241,Cllr Crisial Davies & Cllr Lewis Eldred Davies,Lewis Eldred Davies,253
1555782274683668,Cymorth Cristnogol // Christian Aid in Wales,Dyfed Wyn Roberts,251
107469530818919,Jeremy Kent,Wrexham Conservatives on behalf of Jeremy Kent,250
136308776480,Scottish Conservatives,"and promoted by James Tweedie on behalf of the Scottish Conservative & Unionist Party, both of 67 Northumberland Street, Edinburgh, EH3 6JG",249
1870441883201516,Labour Together for Rhiwbina,Labour Together for Rhiwbina,248
119803999851914,Steven Rajam - Welsh Liberal Democrats,Welsh Liberal Democrats,247
116097341519,BOSS,These ads ran without a disclaimer,247
1787487104836976,Plasnewydd & Roath Community News,Plasnewydd & Roath Community News,244
100560031577284,Lord Ashcroft,Lord Ashcroft,244
6707857033,Global Justice Now,Global Justice Now,242
7569385657,Co-operative Party,Co-operative Party,241
721911121317163,Trowbridge & St Mellons Labour News,Trowbridge & St Mellons Labour News,241
1884100795206861,"My Death, My Decision","My Death, My Decision",238
668517553223702,Y Live Community,Yonder Data Solutions,238
194280754467393,Cyngor Bwrdeistref Sirol Pen-y-bont ar Ogwr,Cyngor Bwrdeistref Sirol Pen-y-bont ar Ogwr,238
1630886963834221,Councillor Oliver James,Oliver Gregory James,237
1359780110758966,Rumney Labour News,Rumney Labour News (http://www.rumneylabournews.com/),236
249209468838241,Good Law Project,Good Law Project,236
116625838402686,FareShare,FareShare,235
722939897742608,The Co-operative Bank,These ads ran without a disclaimer,230
135456716565905,Guardian Jobs,Guardian Jobs,228
109065757414344,Oltco Ltd,Oltco Ltd,226
146549422028829,The TaxPayers' Alliance,The TaxPayers' Alliance,225
569834799727730,National Grid UK,NATIONAL GRID UK LIMITED,223
1820626967965490,"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing & Communities",223
111741094024969,Market Forces UK,Market Forces,220
193658497485307,DAME.,DAME.,218
2443299312347521,Green New Deal Rising,Green New Deal UK,212
585253558594078,Police.uk,Police UK,212
19895907944,CAFOD,CAFOD,207
1761608087492229,"Splott, Tremorfa and Pengam Green Labour News","Splott, Tremorfa and Pengam Green Labour News",206
991365250986730,Marc Palmer - Whitchurch and Tongwynlais Community News,Marc Alan Palmer,202
309859477095,Citizens UK,Citizens UK,200
373504936622813,North West Wales Conservatives - Ceidwadwyr Gogledd Orllewin Cymru,North West Wales Conservatives,200
108279771866298,Jonathan Jones for Dunvant and Killay,Jonathan Hywel Jones,200
95597922197,Batiste,re:act,199
927837663932253,Money and Mental Health Policy Institute charity,Money and Mental Health Policy Institute,198
411466785727015,Sam Rowlands,Sam Rowlands MS,198
100854403381908,Pay Justice,Pay Justice,197
114651147002520,SSE Energy Solutions,SSE,196
103273814470,SolarAid,SolarAid with Facebook Ad Credits,194
498956480167815,Butetown Labour News,Cllr Saeed Ebrahim - Butetown Labour News,192
429578287143702,RCN Foundation,These ads ran without a disclaimer,191
130991243645981,Caerphilly County Borough Council,Caerphilly County Borough Council,190
