Page ID,Page name,Disclaimer,Amount spent (GBP)
6366026879,Dogs Trust,Dogs Trust,172
85549822738,Peace Direct,Peace Direct,171
103851285624324,Benn Rapson for Glasgow - Anderston / City / Yorkhill,Benn Andrew Rapson,170
103273814470,SolarAid,SolarAid,169
100140032259963,Hicomply,These ads ran without a disclaimer,168
184503908251488,Cala Homes,These ads ran without a disclaimer,166
54265089285,Explore,Explore,165
798512170219069,Rewilding Britain,Rewilding Britain,164
1046117708754519,Care4Calais,Care4Calais,164
330351984041,ENABLE Scotland,ENABLE Scotland,163
110778354905512,Sandra O'Shea for Kirriemuir and Dean,Ben George Lawrie,162
235916463134442,Jeremy Gilley,Peace One Day,162
8751993250,Equality and Human Rights Commission,Equality and Human Rights Commission,161
157191900962245,"Platform -  activism, education and the arts","Platform -  activism, education and the arts",160
270209769668784,Jackson Harries,These ads ran without a disclaimer,160
193459200711198,Coutts,Cameron Obrien,157
956673084523624,Good Club,These ads ran without a disclaimer,157
21019330647,Environmental Investigation Agency,Environmental Investigation Agency,156
8823630291,Cats Protection,Cats Protection,156
1648290675440783,Ben Lawrie - Scottish Lib Dem Drugs Policy Spokesperson,Ben George Lawrie,156
172710059485626,Keep Our NHS Public,Keep Our NHS Public,155
110338364916354,Stephen Lynas Vote Alba #1 For Rosyth on 5 May 22,Stephen John Lynas,154
2168480816734086,Flight Free UK,Flight Free UK,153
1446491662056129,Just Treatment,Just Treatment,153
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,153
100959719644,The New Statesman,New Statesman,151
784040761644186,Inverkeithing & Dalgety Bay SNP,David John Barratt,150
258268470990692,Cyber Aware from the National Cyber Security Centre,These ads ran without a disclaimer,150
1369606073111912,Aberdeen Labour,Barry Black,148
1623035314580683,Alastair Majury regarding Dunblane and Bridge of Allan,Alastair George Majury,147
1477945425811579,BBC Sounds,These ads ran without a disclaimer,145
112482903923756,Covid Testing Network,Covid Testing Network,143
1228501857197119,Cllr Alasdair Bailey,Alasdair John Bailey,143
712578428942960,Заборона,These ads ran without a disclaimer,142
271154343382,HeraldScotland,The Herald,142
190710539707,Scottish Trans Alliance,Equality Network,140
100378402126532,William Collins Books,These ads ran without a disclaimer,140
139695000173,Good Energy,Good Energy,139
401847960644025,Extinction Rebellion UK,Extinction Rebellion,139
143837658998810,WWT,Wildfowl and Wetlands Trust,138
353883835297870,Engage Britain,Engage Britain,138
129900080517958,ITF - International Transport Workers' Federation,International Transport Workers' Federation,138
1436330933084124,Cllr Graham Lindsay,Graham John Lindsay,137
101393835337386,Craig Smith for Livingston South,Scottish Labour,136
199676720083396,"National Union of Rail, Maritime and Transport Workers (RMT)","National Union of Rail, Maritime & Transport Workers (RMT)",136
223357247712390,PETA UK,These ads ran without a disclaimer,136
19895907944,CAFOD,CAFOD,135
1140447082665672,Ben Callaghan Scottish Conservative and Unionist,Ben Ron Callaghan,133
34044296391,Surfers Against Sewage,Surfers Against Sewage,132
608578919186659,World Vision International,World Vision International,132
198119003432,Weleda,Weleda UK,129
175584152579855,Unite the union,Unite the union,128
105790917468773,Pawprint,Pawprint,128
1100489463333119,Asana Rebel,These ads ran without a disclaimer,128
1463126643980071,Alex Rowley MSP,Alex Rowley,128
190533904321672,musicMagpie,musicMagpie,128
6406164817,Viva!,Viva! Vegan Charity,127
110934940687948,"Sharon Graham - General Secretary, Unite the Union",Unite Sharon Graham,127
264444526901270,Human Aid UK,Human Aid UK,127
200160670017135,Continental Tyres UK,Continental Tyre Group Ltd,126
103490302175859,Mhairi Munro-Brian for Inverleith,MHAIRI CATRIONA MUNRO-BRIAN,126
100902919262404,Vote Raquel Lloyd-Jones for East Berwickshire,Raquel Melissa Lloyd Jones,126
8876787713,Mental Health Foundation,These ads ran without a disclaimer,123
107346624163289,POMOC - Polish Migrants Organise for Change,POMOC,123
397367290369272,Project Solar UK,Project Solar UK,123
238845759618209,Commonplace,Commonplace,122
111839031528658,SCDI - Scottish Council For Development and Industry,SCDI,122
1908112089264826,Nuii Ice Cream UK,These ads ran without a disclaimer,122
411335395592489,Endometriosis UK,Endometriosis UK,121
21251598643,BrewDog,These ads ran without a disclaimer,119
18933990398,Stonewall,Paid for by Stonewall with Facebook ad credits,119
1629336967335070,Emma Knox 4U,Mrs Emma Ann Knox,118
106205865302441,Just Stop Oil,Just Stop Oil,118
7783116506,Animals Asia,These ads ran without a disclaimer,117
137660096284927,Child Poverty Action Group (UK) - CPAG,Child Poverty Action Group,117
358706239805,Scope,Scope,116
613832878641719,Forces News,BFBS,116
104321945367143,LCR Be More Apprenticeships,Liverpool City Region Combined Authority,116
1689013614665814,HEINEKEN UK,HEINEKEN UK,114
105360591146333,Clean Up Gambling,MATTHEW GEORGE ZARB-COUSIN,114
112811244555424,Cllr Gavin Keatt,Gavin Keatt Wylie,114
804183016314747,Robertson Homes,Robertson Homes,113
469738460027551,EnergiseAfrica,Energise Africa,113
105780677377,Equality Network,Equality Network,113
1032050693483509,Hope and Aid Direct,Roger Wilson,112
314918278608280,Moray SNP,Moray SNP,112
713433482073029,Kirkintilloch SNP,Pamela Ann Marshall,112
103332231015436,Emma Roddick MSP,Emma Roddick,111
110134271611156,Scott Forsyth for Perth City Centre,Mr Scott Daniel Forsyth,111
110490534968846,Calum Cameron for Heldon and Laich,Banffshire & Buchan Coast Liberal Democrats,110
114594994476453,Frank McNiff - It's time for a change,Frank McNiff,109
490858150969676,5Pillars,5Pillars,109
174188482788412,ELSG Ltd,ELSG Ltd,108
485290418240956,ROCKWOOL,These ads ran without a disclaimer,107
1374434719544894,The Ferret,The Ferret Media Ltd,107
128023497333373,Trossachs & Teith SNP,Eugene Patrick Maxwell,106
351940601513765,Falkirk Council,Falkirk Council,105
107383261217183,"Cllr Julie MacDougall-Labour for Burntisland, Kinghorn & Western Kirkcaldy",Mr Gregor Alexana Mitchell,105
114510991145461,Councillor Pete Shears - A Labour voice for The Ferry,Peter Colin Shears,105
232479886816529,Cambridge Institute for Sustainability Leadership,These ads ran without a disclaimer,104
191851397669230,VETO – Tierschutz,These ads ran without a disclaimer,104
290827198179751,North East & Central Fife Liberal Democrats,North East Fife Liberal Democrats,104
1943466022628856,Trade & Invest Wales,These ads ran without a disclaimer,102
136154403098698,Amazon.co.uk,These ads ran without a disclaimer,102
100610515930904,Gary McGrow for Stirling East,Gary Mcgrow,101
112056297917048,Josephine Oboh-Macleod UK Politics,Mabel Akomu Oboh Akpaso,101
474216685502,Filmhouse,These ads ran without a disclaimer,≤100
1840850652840595,Cllr. Andrew Jarvie,Andrew John Jarvie,≤100
500641586715270,Scottish Palestine Solidarity Campaign,Scottish Palestine Solidarity Campaign,≤100
119343418100376,Scottish Poetry Library,Scottish Poetry Library,≤100
107389080807114,Our Scottish Future,Our Scottish Future,≤100
1930888720475126,Community Justice Scotland,Community Justice Scotland,≤100
105695365197742,Marley Hunter - Dundee and Angus Greens Forfar candidate,Scottish Green Party,≤100
101850642525266,Bev Smith for Black Isle Councillor,Bev Smith,≤100
