Page ID,Page name,Disclaimer,Amount spent (USD)
104530258866956,Stop the Corporate Online Gambling Prop,"Coalition for Safe, Responsible Gaming, Sponsored by California Indian Tribes. Committee major funding from: Pechanga Band of Indians, Yocha Dehe Wintun Nation, Agua Caliente Band of Cahuilla Indians. Funding Details at www.fppc.ca.gov",30428
102851832441142,Vote Schubert for Attorney General,Peace Officers Research Association of California (PORAC) Statewide Independent Expenditure Committee.,14138
123450447708791,Energy Upgrade California,California Public Utilities Commission,10926
192448150001,Jeff Anderson & Associates,Jeffrey R Anderson PA,10839
10128918116,Gavin Newsom,NEWSOM FOR CALIFORNIA GOVERNOR 2022,9447
238142787549374,Teddy Kapur,Teddy Kapur for City Attorney 2022,8234
106953981943902,No on Ventura Measures A and B,"Stop Measures A & B – A Coalition of Working Families for Jobs and Energy Independence, Supported by Energy Producers. Committee major funding from Aera Energy and Chevron.",5980
168496243781414,Mayor Giselle Hale,Giselle Hale for Assembly 2022,5978
100113545962506,Californians for Solutions to Homelessness and Mental Health Support,"Californians for Solutions to Homelessness and Mental Health Support, a Coalition of Housing and Mental Health Experts, Concerned Taxpayers and Digital Sports Entertainment and Gaming Companies. Funding Details at www.fppc.ca.gov",5916
106575778297762,Yvonne Yiu for State Controller,Yvonne Yiu for State Controller 2022,5586
108617051499061,Ándale Qué Esperas,AltaMed Health Services,5000
106568024842114,Rideshare Assault Support,Select Justice LLC,4542
109092142462587,Adam Schiff,SCHIFF FOR CONGRESS,4169
9182608316,California Democratic Party,CALIFORNIA DEMOCRATIC PARTY,4149
100722909218796,United Democracy Project,UNITED DEMOCRACY PROJECT,4070
105308481683326,Nathan Hochman for Attorney General 2022,Nathan Hochman For Attorney General 2022,3805
108774614054683,American Edge Project,American Edge,3726
100945992520958,Rick Caruso,"Rick Caruso for Mayor 2022, 101 The Grove Drive, Los Angeles. Additional information is available at ethics.lacity.org.",3604
7030901126,Campaign for Tobacco-Free Kids,TOBACCO-FREE KIDS ACTION FUND,3387
351521204963267,County of San Mateo - Government,County of San Mateo,3114
100945992520958,Rick Caruso,Rick Caruso for Mayor 2022,3106
108887515128830,Communities United for Bass for L.A. Mayor 2022,Communities United for Bass for LA Mayor 2022,2949
113778833499506,California Labor and Business Alliance,California Labor and Business Alliance,2864
106368917901920,Grow SF PAC,Coalition to Grow San Francisco - Grow SF PAC,2746
127225910653607,PragerU,PragerU,2610
115050083954556,Faisal Gill for Los Angeles City Attorney,Faisal Gill for Los Angeles City Attorney,2606
102696611873936,Baytieh for Judge,Baytieh for Judge,2548
1812305765524944,Juan Carrillo,Juan Carrillo for Assembly 2022,2434
1466899026667895,Housing Now,Housing Now,2380
239029093423,Dave Jones,Dave Jones for State Senate 2022,2378
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,2353
995045460505806,Sacramento Metropolitan Chamber PAC,Sacramento Metropolitan Chamber PAC,2257
195994800434559,San Manuel Band of Mission Indians,SAN MANUEL BAND OF MISSION INDIANS,2247
111199351501480,David Shepard for Senate,Shepard for Senate 2022,2130
