Page ID,Page name,Disclaimer,Amount spent (USD)
107798888461831,Julie McGuire for State Representative,Julie McGuire For State Representative,4677
435702639877136,State Representative Curt Nisly,Curt Nisly for State Representative,4665
107126284326524,Kevin Boehnlein for State Senate,Kevin Boehnlein for State Senate,4642
49651563727,Live Action,Live Action,4612
107005161695319,Herschel Walker,"TEAM HERSCHEL, INC.",4512
166618413413767,Jay Sekulow,American Center for Law and Justice,4492
107456714922179,Grid,Grid News,4434
43287633515,Action for the Climate Emergency,Action for the Climate Emergency,4378
102730462313304,Matt Hall for Congress,Matt Hall for Congress,4318
143528022388140,The Allstate Foundation,The Allstate Foundation,4298
20531316728,Facebook App,"Facebook, Inc.",4281
35169196082,Project HOPE,"PROJECT HOPE-THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION, INC.",4222
104299367780056,Craig Snow,Paid for by Snow Indiana State Representative,4180
80562389320,NARAL Pro-Choice America,NARAL PRO-CHOICE AMERICA CORP,4160
1175880392425033,Dave Hall for State Representative District 62,Friends of Dave Hall,4128
47710973068,Voices for Cooperative Power,Voices for Cooperative Power,4082
1572720369644618,Diego Morales,Diego For Indiana,4055
116546288359245,Heritage Action for America,HERITAGE ACTION FOR AMERICA,4049
51405613519,Focus on the Family,Focus on the Family,4033
69983322463,Ted Cruz,TED CRUZ FOR SENATE,4010
103650972323940,Kristin Jones for Indiana 2022,Kristin Jones for Indianapolis,3975
25852730092,Care2,"Care2.com, Inc",3930
100104419147228,Do Good Chicken,DO GOOD FOODS LLC,3896
107126284326524,Kevin Boehnlein for State Senate,Kevin Michael Boehnlein,3894
7192716362,Amnesty International USA,"AMNESTY INTERNATIONAL OF THE U. S. A., INC.",3705
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,3692
1338822066131069,Women's March,Women's March,3657
366125653844590,Kyle Miller for IN State Rep - 82nd District,Friends of Kyle Miller,3609
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,3607
106219185211056,Andrea Hunley for Indy,Andrea Hunley for Indy,3590
282272406201,Jackie Walorski,WALORSKI FOR CONGRESS INC,3583
100689592336419,Homes Panel,Homes Panel,3576
101743625780251,Truckers for Freedom,"GREAT AMERICAN PATRIOT PROJECT, INC",3570
107015291941900,Bill Allen for Congress,BILL ALLEN FOR CONGRESS,3561
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,3534
1780867608827439,H Fisk Johnson,"S. C. Johnson & Son, Inc.",3505
940653386126953,StandingWithYou.org,Standingwithyou.org,3503
110173398213783,Hoosiers for Fair Rx Prices,Hoosiers for Fair Rx,3503
108457591781120,Tim Griffin for Hamilton County,Tim Griffin for Hamilton County,3500
829786213807107,"SC Johnson, A Family Company","S. C. Johnson & Son, Inc.",3491
7030901126,Campaign for Tobacco-Free Kids,TOBACCO-FREE KIDS ACTION FUND,3460
223055747744143,Beto O'Rourke,Beto for Texas,3423
100289605857598,United Solutions,United Solutions,3385
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,3364
214821605377109,Stacey Abrams,Stacey Abrams for Governor,3337
6514736316,Walden University,Walden University,3336
58736997707,Marco Rubio,Marco Rubio for Senate,3315
197669827395385,Connected Commerce Council,Connected Commerce Council and American Edge Project,3265
292351509697,Jerusalem Prayer Team,Jerusalem Prayer Team,3218
114710126648118,Republican Dogs,Republican Dogs,3110
104856814505092,The Kids Guide,The Kids Guide,3103
7341997111,Conservation International,Conservation International,3077
112660940591760,Pregnancy Choices Indy,Pregnancy Choices Indy,3052
5720973755,Defenders of Wildlife,DEFENDERS OF WILDLIFE,3008
106194101996821,Mike Speedy for State Representative,Paid for by Friends of Mike Speedy,3000
134083397196683,Jake Teshka,Committee to Elect Jake Teshka,3000
193971300937653,Jim Pressel,Friends of Jim Pressel,3000
106929578377116,American Betterment Group,Patriot United Front LLC,2993
8492293163,Environmental Defense Fund,Environmental Defense Fund,2970
104278531142402,Liberty Defense,LIberty Defense,2964
15239367801,The Wilderness Society,"WILDERNESS SOCIETY, THE",2937
100356985890076,Elect Blake N. Dahl for Judge,BLAKE DAHL PATRIOT COMMITTEE TO ELECT,2935
112697981229735,Rodney Pol Jr. for Indiana,Committee to Elect Rodney Pol Jr,2909
309308412520731,Sandy Hook Promise,Sandy Hook Promise,2905
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,2904
745304825534862,Steve Scalise,Team Scalise,2883
121268821249550,World Central Kitchen,WORLD CENTRAL KITCHEN INC,2871
105318696193467,Indiana AFL-CIO,AMERICAN FEDERATION OF LABOR & CONGRESS OF INDUSTRIAL ORGANIZATIONS,2848
35541499994,Dr. Mehmet Oz,DOCTOR OZ FOR SENATE,2821
20787991568,Senate Democrats,DSCC,2820
106900438526618,Our America Living,Our America Living,2813
81124177592,"Planned Parenthood Great Northwest, Hawaiʻi, Alaska, Indiana, Kentucky",Planned Parenthood of the Great Northwest and Hawaiian Islands,2809
100662715881755,"Evan McMullen for State Senate, District 25",Evan for Indiana,2809
87186661244,Johns Hopkins Bloomberg School of Public Health,Johns Hopkins Bloomberg School of Public Health,2758
209516845093,NRDC Action Fund,NRDC Action Fund,2754
1456310534453054,Veteran Loans Online,"LMB OpCo, LLC",2721
30139072158,CARE,"COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE, INC. (CARE)",2721
33110852384,Doctors Without Borders/Médecins Sans Frontières (MSF),These ads ran without a disclaimer,2664
702582586516561,CBN Israel,"The Christian Broadcasting Network, Inc.",2615
22067606728,Allen West,The Association of Mature American Citizens Inc,2596
105207848502216,Joe Villanueva for Prosecutor,Joe Villanueva for Prosecutor,2579
376638603087168,Save The Earth,8 Billion Trees LLC,2544
298883911254,Degree,Unilever,2505
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC",2499
111392724756445,Shane Weist for Indiana State Representative,Shane Weist for Indiana,2498
443329669123990,USAFacts,USAFacts Institute,2460
25852730092,Care2,Care2 Inc,2435
90486735811,Audible,Audible,2432
54312801874,Indiana Republican Party,Indiana Republican State Committee,2432
376776419037747,Turning Point USA,"Turning Point USA, Inc.",2397
104685248785335,Bill Webster - State Senate Indiana Dist 23,Patriots for Webster,2378
