Page ID,Page name,Disclaimer,Amount spent (USD)
101828156534504,He Gets Us,He Gets Us LLC,328593
87186661244,Johns Hopkins Bloomberg School of Public Health,Johns Hopkins Bloomberg School of Public Health,284269
223055747744143,Beto O'Rourke,Beto for Texas,274926
100776719189544,Tell Congress: Don't Let China Pull Ahead,Taxpayers Protection Alliance,198896
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,189010
181888625087,Greg Abbott,Texans for Greg Abbott,186496
103739458754360,CNN+,"WarnerMedia, LLC",178101
127225910653607,PragerU,PragerU,172066
441242156439675,Jessica Cisneros,Jessica Cisneros for Congress,134952
25121889784,Texas Public Policy Foundation,Texas Public Policy Foundation,97547
69983322463,Ted Cruz,TED CRUZ FOR SENATE,96783
203805062990264,Ben Shapiro,The Daily Wire,89026
1435071773455316,Daily Wire,The Daily Wire,83636
46743242445,Green Mountain Energy Company,Green Mountain Energy,72003
1669941646417657,Senior Choice Financial,Andrea Marroquin,68964
173517072696584,George P. Bush,George P Bush Campaign,68084
18982436812,ACLU,American Civil Liberties Union,67824
40217893542,AIPAC,AIPAC,66238
269317522200,Adrian Garcia,Adrian Garcia for Harris County Commissioner Precinct 2,62318
19972147679,SEIU,SEIU,61687
256043277748645,NetChoice,NETCHOICE,61155
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,60207
405962819524364,Mike Collier,COLLIER COMMITTEE,60131
134498556891640,Val Demings,Val Demings for U.S. Senate,59785
101497941620428,MolinaCares,The MolinaCares Accord,59671
1593518174052711,Candace Owens,Daily Wire,58561
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,56999
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",54119
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,53594
27544763621,Prison Fellowship,Prison Fellowship,52873
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",52460
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,52431
100722909218796,United Democracy Project,UNITED DEMOCRACY PROJECT,51251
97279934919,bp America,BP CORPORATION NORTH AMERICA INC.,51192
152569121550,U.S. Congressman Henry Cuellar,Office of Congressman Henry Cuellar (TX-28),51183
105266818674992,Hays for Texas Ag Commissioner,Susan Hays Campaign,50797
385473284886474,Hillsdale College,Hillsdale College,48116
55549065733,Voto Latino,VOTO LATINO INC.,46217
345653475580468,Don Huffines,Don Huffines Campaign,45576
166833599370,USCCA,USCCA,45266
92925746942,Judicial Watch,Judicial Watch,44541
248922701788783,Henry Cuellar,TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN,41720
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,40940
104561658702017,Evan Young,Justice Evan Young for Texas Supreme Court Campaign,40588
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",39010
103546351703577,Dallas Express,The Dallas Express,37536
73102498136,Children's Health,Children's Health System of Texas,36372
102391291904684,Marcus Flowers For Congress,Marcus Flowers for Congress,35770
322553044474863,Office of the Texas Secretary of State,Office of the Texas Secretary of State,32404
263878310977179,Pete Flores for Texas Senate District 24,Pete Flores Campaign,31651
101606802493036,Taking Care of SA,Taking Care of SA,31546
160513344045084,John Neely Kennedy,"John Kennedy for Us, Inc",30846
107725370798378,"Texas Federation for Children PAC, Inc.","Texas Federation for Children PAC, Inc.",30278
1600352356914768,PushBlack,PushBlack,29646
30914589895,The International Fellowship of Christians and Jews,INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS INC,28757
1023516414456183,Drain the DC Swamp PAC,DRAIN THE DC SWAMP PAC,28362
96935476345,Democratic Governors Association (DGA),"Democratic Action, democraticgovernors.org, not authorized by any candidate or candidate's committee.",28180
110022477032429,Admiral Mike Franken,"MICHAEL FRANKEN FOR IOWA, INC",28152
40102638699,J Street,J Street Action Fund,27538
570092813023833,Matt Walsh,The Daily Wire,27124
40094923604,ACLU of Texas,American Civil Liberties Union,26910
293523850799690,Dawn Buckingham,Dr. Dawn Buckingham,26431
107456714922179,Grid,Grid News,26327
105094247772548,Legacy 44,Legacy 44 PAC,26263
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,25863
1558042497785635,Beth Van Duyne,BETH VAN DUYNE FOR CONGRESS,25272
80562389320,NARAL Pro-Choice America,NARAL PRO-CHOICE AMERICA CORP,25136
162599893848,Texas Public Charter Schools Association,Texas Charter Schools Association,24970
17002121901,Lancôme,L OREAL USA,24886
100104419147228,Do Good Chicken,DO GOOD FOODS LLC,24711
7030901126,Campaign for Tobacco-Free Kids,Campaign for Tobacco-Free Kids,24432
372353822835252,Planned Parenthood of Greater Texas,Planned Parenthood of Greater Texas,24368
114008535880,Foundation for Individual Rights in Education,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,24220
103696151958094,Texans for Eva Guzman,Texans for Eva Guzman,22859
431891506856669,Dove,Unilever,22542
107005161695319,Herschel Walker,"TEAM HERSCHEL, INC.",22522
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,22260
228754857151053,House Majority PAC,House Majority PAC,22133
90022052772,Williams,"WILLIAMS COMPANIES, INC., THE",22109
108892551556386,Mano DeAyala For State Rep,Mano DeAyala for State Representative,22081
