Page ID,Page name,Disclaimer,Amount spent (USD)
104423598377269,HR 1522: Puerto Rico Statehood Act,Self-Determination Incorporated (SI) Inc.,44783
100341625495881,Tumbaeltumbe,"BPUMF, LLC",21747
1669941646417657,Senior Choice Financial,Andrea Marroquin,3866
133247360081982,Corona PR,Corona PR,3762
406817633095999,William E. Miranda Torres,Municipio Autónomo de Caguas,3226
2075291759265799,ProSolar Puerto Rico,These ads ran without a disclaimer,2279
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,1592
157354480893,Municipio Autónomo de Caguas,Municipio Autónomo de Caguas,1414
101930385197156,Alianza Center,"Alianza Center, Inc.",1256
291819009067,AARP Puerto Rico,AARP,1110
23978156246,UnidosUS,UnidosUS,1000
102808162325044,The Show PR,Twins Theory Corp,954
186977768011413,Ironworkers Rising,"International Association of Bridge, Structural, Ornamental, and Reinforcing Iron Workers",806
166984526783400,"Luis R. ""Narmito"" Ortiz Lugo",Comité Amigos de Narmito,781
1710579622504488,Centro Crece,Ianice Viel Santiago,753
244779642874534,MMM Multi Health,These ads ran without a disclaimer,700
222380621121030,Rafael Tatito Hernandez,Comité Tatito Hernández,648
842871985856880,Libardo Hernández,Libardo Hernandez Pérez,631
100461704650569,Jevas Combativas,"The Olan Group, LLC",587
314499212242,Pfizer,Pfizer Inc.,573
149451418987667,Boricuas Unidos en la Diáspora - BUDPR,Boricuas Unidos en la Diáspora,572
1593945460882954,Seguro Social Orientadores,Seguro Social Orientadores,470
2078647579047586,Project Pulso,Project Pulso,447
126749377395878,Medalla Light,These ads ran without a disclaimer,412
383677738397139,Association for Accessible Medicines,Association for Accessible Medicines,385
103262935603375,Americano Media,Americano Media,313
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,311
421836407865197,Quiebras Lirio Torres Justiniano,Lirio Del Mar Torres Justiniano,311
1008815605925452,"Caribbean Solar Energy, LLC",These ads ran without a disclaimer,293
292680997602545,Manuel Calderón Cerame,Comité Manuel Calderón Cerame,274
1301583153229067,Nelly y Carlos,These ads ran without a disclaimer,266
409703182568632,VAMOS Puerto Rico,VAMOS Concertación Ciudadana,220
18983389920,Open Society Foundations,Open Society Foundations,209
112606134259609,PRLegalNews,Quetglas Law Office,171
115195631833717,NAHREP The National Association of Hispanic Real Estate Professionals,NATIONAL ASSOCIATION OF HISPANIC REAL ESTATE PROFESSIONALS,167
40936531365,The FreeMind Group,These ads ran without a disclaimer,153
105883445224281,Manuel Quilichini Presidente CAAPR 2022,Manuel Quilichini Presidente CAAPR 2022,128
158714780827513,UNFPA,These ads ran without a disclaimer,127
836506679788893,AES Puerto Rico,These ads ran without a disclaimer,122
605037386536651,Alianza for Progress,Alianza for Progress,119
469660083074097,José Juan Cruz AYO - Legislador Municipal Gurabo,José Cruz,114
274879576155,Toyota PR,These ads ran without a disclaimer,111
401054126719730,Taller Salud,Taller Salud,104
473401869537224,COSVI,These ads ran without a disclaimer,≤100
103116208317237,"United We Stand for Puerto Rico,Inc",These ads ran without a disclaimer,≤100
107724957477902,Dile NO al impuesto al sol,These ads ran without a disclaimer,≤100
1547457055530916,Comité  Pip Cayey Oficial,Comité Pip Cayey Oficial,≤100
253261841391825,Walgreens Puerto Rico,These ads ran without a disclaimer,≤100
202492173253594,Outpower Energy Corp.,These ads ran without a disclaimer,≤100
