Page ID,Page name,Disclaimer,Amount spent (USD)
383677738397139,Association for Accessible Medicines,Association for Accessible Medicines,1575
215653202574079,Future Majority,"Future Majority, Inc",1564
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,1559
11791104453,NRDC,Natural Resources Defense Council,1530
224641374218252,American Road & Transportation Builders Association (ARTBA),AMERICAN ROAD & TRANSPORTATION BUILDERS ASSOCIATION,1526
118412872882643,Article III Project,Article III Project,1480
662962894077729,The Well News,The Well News,1441
1576601102589852,Glenn Ivey,GLENN IVEY FOR CONGRESS 2022,1433
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,1430
105683954933727,The American-Ethiopia Public Affairs Committee-AEPAC,AEPAC,1421
206238602739505,Taxpayers Protection Alliance,Taxpayers Protection Alliance,1379
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,1369
7192716362,Amnesty International USA,"AMNESTY INTERNATIONAL OF THE U. S. A., INC.",1361
186036262068918,National Marine Manufacturers Association,"NATIONAL MARINE MANUFACTURERS ASSOCIATION, (INC)",1359
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",1354
2010946745801079,Jainforgov,Friends of Ashwani Jain,1340
223055747744143,Beto O'Rourke,Beto for Texas,1334
121268821249550,World Central Kitchen,WORLD CENTRAL KITCHEN INC,1285
8321461609,MomsRising.org,MomsRising Together,1218
6514736316,Walden University,Walden University,1190
282404394803,DC Fiscal Policy Institute,DC Fiscal Policy Institute,1182
197908256931216,Tim Ryan,TIM RYAN FOR OHIO,1171
20787991568,Senate Democrats,DSCC,1171
147928564052997,Zachary For Ward 5,Friends of Zachary Parker 2022,1150
1844798745753870,PagoJusto: Abogados de Derechos Laborales,Law Office of Justin Zelikovitz PLLC,1144
106470774923973,Nomi Health,"Nomi Health, Inc.",1140
6500552187,Hulu,"HULU, LLC",1103
90022052772,Williams,"WILLIAMS COMPANIES, INC., THE",1058
260244824449371,Consumers for Quality Care,Consumers 4 Quality Care,1055
256208408583910,James Butler,Butler 4 Mayor,1055
248262725706461,Power The Future,Power The Future Inc,1053
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",1051
101199045557516,Rebuilding America's Middle Class,Rebuilding America’s Middle Class,1045
105576028300637,Building Back Together,Building Back Together,1043
428821014132730,Katie Porter,Katie Porter For Congress,1040
30139072158,CARE,"COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE, INC. (CARE)",1032
228754857151053,House Majority PAC,House Majority PAC,1016
87186661244,Johns Hopkins Bloomberg School of Public Health,Johns Hopkins Bloomberg School of Public Health,1007
2099448153445994,Students for Life Action,Students for Life Action,1000
27544763621,Prison Fellowship,Prison Fellowship,948
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,933
18983389920,Open Society Foundations,Open Society Foundations,932
296106753794181,Black Press USA - NNPA,Norman Rich,918
