Location name,Amount spent (USD)
Alabama,13818
Alaska,5917
American Samoa,≤100
Arizona,51763
Arkansas,13667
California,441263
Colorado,33319
Connecticut,13478
Delaware,5340
Florida,83793
Georgia,67546
Guam,951
Hawaii,5408
Idaho,6102
Illinois,90456
Indiana,22914
Iowa,25380
Kansas,13692
Kentucky,14620
Louisiana,20892
Maine,9032
Maryland,31891
Massachusetts,32155
Michigan,55338
Minnesota,23199
Mississippi,12608
Missouri,24362
Montana,10143
Nebraska,5957
Nevada,48863
New Hampshire,13344
New Jersey,39953
New Mexico,15724
New York,93946
North Carolina,45727
North Dakota,3431
Northern Mariana Islands,≤100
Ohio,43255
Oklahoma,21219
Oregon,45722
Pennsylvania,57635
Puerto Rico,124
Rhode Island,4397
South Carolina,22280
South Dakota,12314
Tennessee,21801
Texas,108659
Unknown,≤100
Utah,13129
Vermont,3768
Virgin Islands (U.S.),≤100
Virginia,32177
Washington,36053
"Washington, District of Columbia",10990
West Virginia,7759
Wisconsin,37965
Wyoming,2640
