Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
278302786159112,Aleomar Rezende,Aleomar Rezende,303,2
104346841474702,Joelson Bolsolavista,Joelson Freitas,303,7
594009177348086,Virmondes Borges Cruvinel Filho,Virmondes Cruvinel Filho,303,3
424069981039140,Adriano Galdino,Adriano Galdino De Araujo,303,6
415933742182187,Inspetor Celso Morais,Celso Morais,303,9
1990589534564935,CMP Brasil,CMP Central de Movimentos Populares,302,10
169245716480190,Spaço Cursos,These ads ran without a disclaimer,302,4
114799120422202,Luiz Cesar Maretto,Luiz Cesar Maretto,301,7
286526055375734,Delegado Fonseca,Jose Willian Siqueira Da Fonseca,301,1
128327663956877,Ney Leprevost,These ads ran without a disclaimer,301,3
457797740924229,Ademocracia,Amisadai Andrade Da Silva,301,68
641598659352037,Michelly Siqueira Advogada,Michelly Siqueira,301,13
371433389955618,Vereador Andrezinho Rokoski,Andre Rokoski,300,4
2348165081872106,Weslley Paz,Valber Weslley Paz De Vasconcelos,300,6
2413447402011838,Ricardo Adrian 1375,Ricardo Adriano Vasconcellos Dias,300,19
903110189799094,TIAGO COSTA Vereador,Tiago Costa,300,5
102638061835527,Brasil News 1,Diário MS News,300,1
134279120033482,Deputado Waldemar Borges,Gabinete do Deputado Estadual Waldemar Borges,300,7
323574888099814,Deputado Estadual Roberto Morais,Roberto Morais,300,3
112597863912560,Marcos Moraes,Marcos Moraes,300,11
198420830501124,WD Engenharia e Manutenção,Wanderley Dias,300,5
1156077684527055,Lenise Loureiro,Lenise Loureiro,300,7
134203750019055,Primeiro,These ads ran without a disclaimer,300,2
667257043291483,Mateus Assayag,Mateus Assayag,300,3
100272378719563,Maxlev,MaxLev Brasil,300,1
110268824600570,José Olavo Bisol,Jose Bisol,300,1
124263231065558,Renzo Vasconcelos,Renzo Vasconcelos,300,2
1648092025443166,Carlin Moura,Carlos Magno De Moura Soares,300,2
1652532458334618,Ronne Cezar,Ronne Cezar Martins,300,1
103514341288375,"Página ""Rosa Filippo""",Rosalice Fernandes,300,8
247306032087347,Plauto Miró,Plauto Miró Guimarães Filho,300,1
151836301607237,Lindomar Garçon,Everton Machado,300,3
114396220313124,Fetec-CUT Centro Norte,Fetec-Cut Centro Norte,300,7
406398442733177,Mendonça Filho,Democratas,300,1
384576875037181,Jean Corauci,Jean Corauci,300,3
267804463293604,Edegar Pretto,João Edegar Pretto,300,2
774784829282286,Estadão Blue Studio,These ads ran without a disclaimer,300,2
600201073431734,Raul Marcelo,Raul Souza,300,1
253647978173912,Denis Bomba,Denis Donizete Da Silva,300,8
108278636540937,Vereador Cabo Marcelo -  PROS,Marcelo Santos,300,5
258073267579840,Sindicato dos Petroleiros do Norte Fluminense,Sindicato dos Petroleiros do Norte Fluminense,300,1
529770237371747,"CBN Campo Grande 93,7",EMPRESA DE RADIODIFUSAO CAMPOGRANDENSE LTDA,300,7
1609439852487884,De Olho na Política to,Jefferson Agamenon Azevedo,300,2
2348395262107179,Pedagogo Rodrigo João Pimenta do Paraná,Roberta Ribeiro,300,1
1364244366922797,Vereador Rodrigo Gregorio,Rodrigo Gregorio dos Santos,300,10
181279859065154,Rui Reis Vereador,Rui Nazareno Silveira Reis,300,8
191644047572141,Rafael Greca,Rafael Greca de Macedo,300,4
1447854568808657,Coronel Campos,Marcos Albuquerque,299,3
341216022616408,Waldeck Carneiro,Waldeck Carneiro da Silva,299,5
517955565043216,Gilvam Borges,Gilvam Borges,298,4
1163464127052575,Caio Tirapani Advogados Associados,These ads ran without a disclaimer,298,1
217836878738909,Marcelo Nanini,Marcelo Nanini Franci,297,5
109888968350397,Cristina Carvalho,Thomaz Nora Filho,297,2
110088864466896,Marcos Alves,Marcos Alves De Azevedo,297,7
191742417549896,Brena Dianná Barbosa,Brena Dianná BARBOSA,297,4
577949379334679,Vereador Cemar,Jocemar dos Santos Simplício,297,14
104079564339556,Denis Pereira,Jones Fernandes Ferreira,297,6
164717510836761,Conrado Scheller,Conrado Scheller,297,7
1605528263075324,Genival Pereira Matos,Genival Matos,297,7
490786348000614,Vet Ilha,These ads ran without a disclaimer,297,1
108542067182873,Karla Sarney,Karla Da Costa Bastos,296,5
360090374062840,Pedro Bigardi,Pedro Bigardi,296,39
2030787283847150,Dree,Adriano De Oliveira Silva Dos Santos,295,17
189269999292,Wärtsilä Corporation,These ads ran without a disclaimer,295,3
126231983299598,Felipe Bejani,Felipe Bejani,294,4
485592511779040,Poá Hoje - hojediario.com,Grupo Hoje de Comunicação,294,21
102336225293511,Rebeca Morais,REBECA MÍRIAN BARROSO DE MORAIS DAS CHAGAS,294,11
822297887866226,Gian Lopes,Anderson Fernandes,293,6
106983804682410,Fábio de Almeida,Fabio De Almeida Bisekra,293,14
419848051455948,Fetrafi-RS,Federação dos Trabalhadores e Trabalhadoras em Instituições Financeiras do Rio Grande do Sul (Fetrafi/RS),293,6
105095062180003,Diógenes Bonfanti,Pedro Henrique Muller,292,41
141397736547051,Chapa 1 - Singeperon 2022,Daihane Gomes,291,4
112329620303084,Capitão Souza,Carlos De Souza,290,9
1019803431428581,Vereador Vinícius Faria,MARCOS VINÍCIUS RANGEL DE FARIA,290,12
235096606936207,Guiga Peixoto,Jose Guilherme Negrão Peixoto,290,4
615188615181899,Vandro Família,VANDRO GONÇALVES,290,3
102580134526178,Policial Federal Evandro Coruja,Evandro Rodrigo Coruja Cardoso,290,18
418591908199129,Leo de Brito,Leonardo Cunha De Brito,290,8
108103781697493,Washington Bonfim,Whashington L de S Bonfim Eirele - ME,289,8
806698439719274,Andreia Martins Rezende,Andreia Martins Rezende,289,15
589140911124327,Associação Amigos do Cinema e da Cultura,These ads ran without a disclaimer,289,5
154086204688099,Rosângela Reis,Rosangela Reis,289,6
791431354245527,Adilson Barroso Ambientalista,Adilson Barroso Oliveira,288,1
324709780996711,Ângela Portela,Ângela Maria Gomes Portela,288,6
1096194760473631,Lucas Seren,Lucas Seren,288,4
103039778175459,Hospitais PROADI-SUS,Hospital Israelita Albert Einstein,288,6
524581384582352,Dr. Gutemberg,Marcos Gutemberg Fialho Da Costa,288,2
249727041728505,Perspective Investimentos,These ads ran without a disclaimer,287,25
1551424991817385,LIA Rejane,Caine Teixeira Garcia,287,17
107412367748328,Joy Pilates,These ads ran without a disclaimer,287,1
103839191117273,Política do Bom Senso,Danilo Silva,287,8
600910850022315,Pedro Lupion,Pedro Deboni Lupion Mello,286,14
720241961696330,Gabriel Roncon,Gabriel Roncon,285,21
100689865413766,Vereador Fernandão Teigão,Antonio Teigao,284,6
893792977494820,Randal,Jonatas Randal Da Silva,284,3
90740178223,Guia de Niterói,Guia de Niterói,284,4
503548426328244,Maria Leticia,Maria Leticia Fagundes,284,5
100323028514837,Paulo do raio x,Paulo Cardoso,284,9
103796585574481,Chapa1 - Adufes Viva e Democrática,Mirela Canosa,283,6
453382084694085,Alessandro Almeida,Alessandro Sonego De Almeida,283,2
262585337793168,Alberto Silva,Alberto Junio Da Silva,283,9
106219057921287,Laura Melo Vaccaro - Vereadora,Laura Luiza Oliveira Melo Vaccaro,283,31
1625449461094847,Alan Queiroz,Marcos Aurelio Cavalcante Nobre Junior,283,4
1690356074533448,Sintaj Sindicato,SINTAJ,283,4
1302520609760805,Lucas de Lima,Maria Souza,282,2
104315245480562,Thiago Sanderson,Edson De Araujo Firmino,282,4
728973193906588,PATRE,Proteção Animal de Taboão e Região,282,20
621644487915715,Afonso Motta,Afonso Antunes da Motta,281,8
105163688863652,Credito Aprovado,These ads ran without a disclaimer,281,35
560462991124908,Mariel Marra,Mariel Marra,281,5
299950933350942,Jacob Amparo,Luiz Jacob,281,1
742152915835122,Fecunda Fertilizantes,These ads ran without a disclaimer,281,1
1150344458328931,Silvio Alexandre Zancanaro,Silvio Alexandre  Zancanaro,280,4
2033526680291109,Juarez Costa,Juarez Costa,280,3
103005865632839,André Braga,ANDRÉ BRAGA,280,15
105201557876399,Érika Cândido,Erika Fernanda Candido Pinto,280,12
1619856058242869,Amigos do Deputado Luiz Martins,Luiz Antonio Martins,280,5
1705779332995159,Elisia Rangel,Elisia Freitas,280,4
171257293347914,Templo Sete Linhas,Gilberto Gaigalas,279,7
241551621091999,Luciene Cavalcante,Luciene Cavalcante,279,5
823364027769407,Wilson Zuffa,Wilson Zufa Junior,279,3
102193058261726,Limpcleanmanausbelem,These ads ran without a disclaimer,278,31
103039778175459,Hospitais PROADI-SUS,Hospital Alemão Oswaldo Cruz,278,10
102552358843293,Roberta Luchsinger,Roberta Luchsinger,278,6
106421308072409,Geo Credi BNK Cascavel,These ads ran without a disclaimer,278,14
910836722368425,Deputado Miro Sanova,Giovane Sales Dutra,278,5
1664969067106644,Rio Capital,Rio Capital Investimentos,277,1
104687751369948,Ozair Coelho Polaco,Luis Rodrigo Rossete,277,9
302254110116330,Lissandro Breval,Bruno Rodrigues,277,3
1579571358747892,UNIP EAD Artur Nogueira,These ads ran without a disclaimer,277,1
365261416833783,SOMAR - Grupo Educacional,These ads ran without a disclaimer,277,4
185162034835003,Shopping Campo Grande,These ads ran without a disclaimer,276,1
265325206900552,Professora Flávia Rita,These ads ran without a disclaimer,276,2
104669947982584,Vice Prefeitura Municipal de Prainha,Erivaldo Pereira Lopes Junior,276,7
314039525358019,Aurélio Nomura,Aurélio Nomura,276,6
1600072446945973,Wenceslau Moura,Wenceslau Moura,275,6
1703709143101410,Bernardo Guedes,Bernardo Guedes,275,16
113901773672666,Dandara Tonantzin,Dandara Tonantzin Silva Castro,275,5
263288920407797,Academia Body Club - Nova Friburgo,These ads ran without a disclaimer,275,2
0,Instagram User 4799116410,These ads ran without a disclaimer,275,4
103934641435695,Luma Menezes,Luma Mattos De Souza,274,5
429957570419097,Professor Israel,Israel Batista,274,32
125433567654197,Mário Couto,Luis Varela,274,4
1463649213670094,Valdeci Proença,These ads ran without a disclaimer,273,17
1935100433474808,Renan Ferreirinha,Deputado Renan Ferreirinha,273,9
1507416152657178,Vereador Nilton Militão,Nilton Militao,273,7
889030694514771,Artemisi Gallery,These ads ran without a disclaimer,273,2
105375578177663,Leo Tomás,Leonardo Silva,273,5
132159696946993,Rede Cidade Digital,Rede Cidade Digital,273,13
107290218089694,Exame Future of Money,These ads ran without a disclaimer,272,7
105413058298437,Acontece na Região,These ads ran without a disclaimer,272,3
475013372585816,Maurício Brinquinho,Orlando Mauricio Junior,272,7
107985890723601,Silvana Medeiros,Silvana Medeiros,272,20
717255695006219,E-Goulart Advocacia,These ads ran without a disclaimer,271,9
150914804923230,Sebrae Amazonas,These ads ran without a disclaimer,271,4
103060528322766,Direita 022,Romulo Barreto,271,6
878455735617902,Valdinei Lacerda,Valdinei Lacerda Da Silva,271,6
109402221208527,Bárbara Martins Empreendedorismo e Gestão,These ads ran without a disclaimer,270,27
2276166585810574,Luciano Vieira,Luciano Vieira Mendes,270,4
582678941809143,Delegada Martha Rocha,Martha Mesquita da Rocha,270,32
384060602020363,Edgard Sasaki,Edgard Sasaki,270,4
430974330720876,Danilo Ramos,Danilo Ramos,270,3
119721579896024,Wilson Araújo,Wilson Araujo,270,6
102505324783151,Instituto Conservador Liberal,"TTTLJIAAVN FCLIXUN O XX, VA",270,13
100709958332212,Kátia Cardoso,Katia Regina Cardoso Da Silva,270,5
222883274560133,Alan Kardec,Polítika,270,5
1821450581415021,Francineti Carvalho.,Francineti Carvalho,270,6
588818864464639,Imprensa Pública,Imprensa Pública,269,4
109663177055569,Página Sandro Campos,Sandro Campos,269,5
104275554337941,Planalto em Pauta,Planalto em Pauta,268,5
811508945849027,Grupo Contracena,These ads ran without a disclaimer,268,5
551875381577969,LUIS AUGUSTO MENDES,LUÍS AUGUSTO MENDES MACHADO DE SOUZA,268,7
133619913365976,180graus,Claudio Costa,268,4
404971013378522,Archeson Teixeira,Archeson Pedroza Teixeira,268,9
1008799419169736,Prof. Eder Bento,These ads ran without a disclaimer,268,3
106963390663868,Nani Moura,Daiane Silva,267,1
1189277614424993,Prof. Gustavo Pozzi,Gustavo Caetano Pozzi da Cunha,267,20
742953452388577,Chico Holanda Filho,Francisco Holanda Costa Filho,267,4
102291207814556,José Scorsatto,José Scorsatto,266,5
102952215728702,Chapa Mara,These ads ran without a disclaimer,266,2
472835806228992,Dra. Ana Veterinária,Ana Lúcia Fereira Oliveira Meira,265,14
432811793496431,Cianorte é Assim,Camila Fernanda Mira De Oliveira,265,6
653759671916518,Edemilson Marino Prefeito,Edemilson Marino,265,11
102505324783151,Instituto Conservador Liberal,These ads ran without a disclaimer,265,1
108614681841468,deputadocamposmachado,STAR DIGITAL MARKETING,265,5
103488805466554,Evandro Pereira Advogados Associados,Jose Brender Nascimento De Jesus,265,13
103926428884191,Ótica Top Vision,Tatiane Oliveira,265,17
108386297458164,Anderson Miguel Vereador,Anderson Miguel Santos,265,6
112759093476886,Portal Manaós,Fabricio Alexandre Aguiar,264,8
108853690994311,Cícero Freitas,Cicero Maia De Freitas,264,1
1924704757832398,Tayla Peres,deputada tayla peres,264,4
103842751697364,Anderson Martins,Anderson Martins,264,3
538984582880293,Wilker Barreto,Wilker Barreto,263,3
103261398023693,Zé Izac,Marcus Rangel Oliveira,262,6
318035418314326,Anderson Coelho,Raphael Jota,262,3
237478858235527,Rodrigo Totti,These ads ran without a disclaimer,262,16
109187430858923,Prefeito Leonardo Spiga Real,Ciro Lacerda,262,4
105291098761881,Filipe Lôbo Gomes,Filipe Gomes,262,6
110797004940036,Actho Consultoria,These ads ran without a disclaimer,262,1
487681984977014,Leidy Marques Festinalli,Leidilena Festinalli,261,11
101450411665331,Abner Dillmann,Abner Dillmann,261,9
1466867850005899,Oficina Consultoria,These ads ran without a disclaimer,261,1
1800334880066089,Enel X,These ads ran without a disclaimer,261,3
100669435386446,Vereador Vitor Braz,Vitor Marianelli,260,3
311887468974835,Nilto Tatto,Nilto Tatto,260,3
1427149454035468,Sandra Santana,Sandra Santana,260,5
234650370629470,A Agência,A Agência,260,4
365140983677746,Vereador André Henrique,Andre Estevam,260,16
112383463968151,Vereador Robson Rezende,ROBSON GUEIROZ DE REZENDE PÁSCOA,260,6
107170347780687,Chico Ortiz,LUIS FRANCISCO SCHRÖER,260,5
384807388247573,Dr. Eduardo Amorim,Cleydson Lima,260,3
105191148785629,Sangue Colorado,These ads ran without a disclaimer,260,6
555259201341745,Wagner Rodrigues,Wagner De Araujo,259,4
1599780063379368,Monica Rosenberg,These ads ran without a disclaimer,258,2
423905751684638,Ton Proêncio,Erivelton Proencio,258,10
1789937954410205,Prefeito Toledo,Emerson Pires,258,9
2105742866380900,Costa e Silva,Adriano da Costa e Silva,258,1
685372551499096,PontoGov Comunicação Política,Luiz Neves,257,11
406187822857936,Professor Machado,CERSI MACHADO TREINAMENTO,257,6
617032792036484,Prefeitura de João Monlevade,Prefeitura Municipal de João Monlevade,257,11
106172628692147,Agência Impacta,Impacta Agencia de Publicidade - Eireli,256,1
200043037179758,Jingles Chicletes para Deputado 2022,Paulo Magalhaes,256,22
0,Instagram User 3137363396,These ads ran without a disclaimer,256,1
927661130771432,Fábio Duarte,Fabio Duarte Joana,256,6
903012169897213,Alex Bruno,Alex Ferreira,256,14
294413323910056,Alex Ladislau,Alexander Ladislau Menezes,256,11
172487341569522,Comunica Dados,Carlos Andre Osorio Carneiro,256,2
100275083494691,Cobra Repórter,Devanil Reginaldo da Silva,255,15
103141921724956,Congresso Internacional Sobre Democracia e Justiça no Século XXI - Just2022,These ads ran without a disclaimer,255,2
2090371501240985,Claudia Batista,Claudia Batista,255,1
100818232195103,Atlas das Juventudes,Atlas das Juventudes,255,1
1154142264623737,Subtenente Eliabe,Eliab Marques da Silva,255,1
141745032513909,Rodrigo Bethlem,Rodrigo Bethlem,255,7
611527712372582,Jornal Biz - Portal de Conteúdo,Bernardo Seixas,254,2
1254424107999989,Vereador Kiko Brando,Francisco Brando,254,9
110817391434259,Seu motorista em New York,These ads ran without a disclaimer,254,3
1287015268004654,Suno Research,These ads ran without a disclaimer,253,8
368949849829615,Revista Sociedade Militar,R A DA SILVA COMUNICAÇÃO INTEGRADA,253,4
506644162855489,Afonso Torres Afonsinho,Afonso Palhano Torres Filho,253,6
109314315116487,William Callegaro,William Callegaro,252,6
111494694113508,Marcos Costa,Andre Serejo Ferreira,252,16
239350747376187,Nelson Wilians - NW,These ads ran without a disclaimer,252,7
610044405817592,Vinicius Aith,Jose Vinicius Campos Aith,252,6
281067149083980,Tinoco Advogados,These ads ran without a disclaimer,252,1
103490548849690,ClickSuper,These ads ran without a disclaimer,252,2
510817092265315,Thiago Malagoli,Thiago Malagoli,252,12
982184008593453,Vereadora Olinda Fiorentin,Olinda Fiorentin,251,12
1720239404932659,Secretaria Municipal de Obras,Wallison Pereira Da Silva,251,6
376928742648867,Athena Security,These ads ran without a disclaimer,250,1
1411124622529589,Coronel Egídio,Egidio Augusto Amaral Soares,250,7
238131093224888,Vereador Nantes,Ailton Nantes,250,4
1080643001991396,Léo de Lió,Leonardo Dourado,250,2
108503728330320,Sirius Educação,Sirius Educação Inovadora Ltda,250,1
168344213267147,Luis Ferreira Neto,Luis Neto,250,5
2519199234971136,Chikas Cosméticos,These ads ran without a disclaimer,250,1
104368091065467,Folha Publicitária,Folha Publicitária,250,1
112806380421491,Vereadora Alexandra Moreira,Alexandra Gomes,250,10
461156467579675,Antero Paes de Barros,PNB Online,250,5
111517257274935,André Fraga,André Moreira Fraga,250,1
321913575134786,Delegado Zucco,These ads ran without a disclaimer,250,3
100706812506241,Cruzeiro do Sul Virtual - Polo EAD Vigia,These ads ran without a disclaimer,250,2
570067509842813,Cleber Broch,Cleber Broch,250,1
392191117461968,Deputado Major Araújo,Junio Araujo,250,3
130165587155201,Ademir Pestana,Ademir Pestana,250,5
107112951857733,Partido da Mulher Brasileira CE,COMISSÃO PROVISORIA ESTADUAL DO PARTIDO DA MULHER BRASILEIRA - CE,250,4
113762197082558,Fabiano Goulart,Fabiano Goularte Marafon,250,2
115169598941849,Flávia Cysne,Flavia Novaes,250,3
108739060942756,Perito Vark,Vark Ferreira,250,7
1640598462922732,Maurício Carvalho,Mauricio Fonseca Ribeiro Carvalho De Moraes,250,3
417951349015535,Cultura Doadora,Valeria Ochoa,250,3
1036513069723408,Barjas Negri,Barjas Negri,250,3
137217999689497,Prefeitura de Ribeirão Pires,These ads ran without a disclaimer,249,1
109314631588344,Daniel Lopez,These ads ran without a disclaimer,249,1
549187471906286,Marlon Luz,Marlon Luz,249,7
1408423959457166,Harley Dias,Harley Braga Dias Simoes,249,2
480970632081749,"AGF Advice Consultoria Legislativa, Tributária e Empresarial",AGF Advice,249,11
102300008272665,Douglas Dofu,Douglas Souza,249,11
110642284934690,DiCarvalho,DiCarvalho,249,3
106540875238414,Cruzeiro do Sul Virtual - Polo EAD São Pedro,These ads ran without a disclaimer,248,2
101391491399948,coronelcoimbra,Miguel Affonso Coimbra Neto,248,3
792897527470274,Jornal Contratempo,Jornal Contratempo,248,5
211964975659703,João Paulo Rillo,João Paulo Rillo,248,14
884623401576910,Vereador Schumacher,William Schumacher Da Luz,248,14
111001188141082,Protocolo Limpa Nome - Aprovado,These ads ran without a disclaimer,247,6
1049671351828506,Viviane Lima,Viviane Lima,247,4
1200737940028144,Adriano Martins,Adriano Martins Oliveira,246,4
1739180723026150,Paulo Lamac,These ads ran without a disclaimer,246,6
106983891952270,Deep Wallpaper-wei316,These ads ran without a disclaimer,246,2
217846651682506,Grego Muriaé,Ioannis Grammatikopoulos,246,7
110814454630069,Rafael Sampaio Df,Rafael De Sa Sampaio,245,1
100178435901111,Educa.Saúde.VC,Luiz Kuiavski,244,13
108128421785861,Charles Schulle,Charles Schulle,244,10
330718817040423,Galo,Lucas Massolin,243,3
489279214867452,Tarcisio Pimenta ®,Tarcisio Pimenta Ribeiro,243,6
195844580478494,Carlos Geilson,Carlos Geilson Dos Santos Silva,243,6
392489950785692,Dep Pedro Pereira,Pedro Ozorio Pereira,242,2
110964684705588,Aorist,These ads ran without a disclaimer,242,1
112952827962703,Celso Itaroti,Bruno De Souza,242,4
380121302686307,Lázaro Bat,Lazaro Santos,242,4
187655821301660,Almedina Brasil,These ads ran without a disclaimer,242,2
110769114597147,Mariana Vieira - Fisio Pélvica,Mariana Vieira,242,2
1024126234413090,Olhar Capital,Olhar Capital,241,5
338318283652234,Tio Huli,These ads ran without a disclaimer,241,1
109071302519408,Grupo Maturu,Rodrigues,241,5
100404205760725,Dr. Hélio Braz e Advogados,Helio Souza,240,2
189605361051491,Renato Roseno,Renato Roseno de Oliveira,240,5
112681207857286,Patriota São Caetano do Sul,Roberto Marques Bareira,240,24
156014468320201,Ribeiro Neto,Aires Neto,240,4
275826989568190,Jarbas Vasconcelos,These ads ran without a disclaimer,239,2
108651421512250,Associação Amparo Maternal,Amparo Maternal,239,4
105193041186385,Vereador Amós Laurindo,Amos Laurindo,238,5
685302945169977,Abrasel RMC,Abrasel em Campinas e Região,238,4
232091053651350,Marcelo Rondon,These ads ran without a disclaimer,238,2
105992405162283,PTB RGS - Família Conservadora Cristã,Rodrigo Bittencourt,238,16
1033164463415165,Mônica Leal,Maicon Ferreira,238,13
585819101887947,Rodrigo Dorival Gomes,Rodrigo Gomes,237,5
100585242638737,Oral Unic Implantes Senador Canedo,These ads ran without a disclaimer,237,22
880810405438477,ÉKent Energia Solar,These ads ran without a disclaimer,237,2
100189585116003,DBCake,These ads ran without a disclaimer,237,15
500784640279213,Mariana Carvalho,Tacilla Mariana Carvalho Silva,237,4
119721579896024,Wilson Araújo,Ramá Agência Digital,236,4
115449086912280,Eduardo Cursino,EDUARDO CURÜ I U‘■,236,7
108257264396557,Reynaldinho Ptb,Reynaldo Gregorio Junior,236,8
139534216153906,DCE UnB Honestino Guimarães,Victor Carvalho,236,1
182064641809329,Professor Rodrigo Menezes,These ads ran without a disclaimer,236,2
905017009683992,Carlos Moisés,Carlos Moisés da Silva,236,22
482605981908891,Alisson Wandscheer,Alisson Wandscheer,236,6
100760251909485,Portal 62AM,Portal 62 AM,236,99
436655656434516,Zênite Informação,These ads ran without a disclaimer,235,1
104251330996355,studiosereia,These ads ran without a disclaimer,235,7
420590341316611,Professor Fabiano Pereira,These ads ran without a disclaimer,235,16
302089109817809,Páblo Lima,Pablo Lima,235,4
1170634522988216,Marquinho Luanda,Marcos Fonseca,235,15
108800493958405,Rodrigo Vaccari,Rodrigo Vaccari Dos Reis,234,4
1062147183798946,PSTU Belo Horizonte,Ramiro Rocha Pereira,234,5
313928685348422,NeritPolítica,Wagner Coelho,234,2
117947525221694,João Reis Araujo,Joao Reis De Araujo,234,1
215529315462855,Guto Lopes,These ads ran without a disclaimer,234,3
349284501889225,Oseias de Tamoios,Oseias de Tamoios,233,6
105400734668692,Luis Namura,These ads ran without a disclaimer,233,5
109591078380854,Cesar Vargas,Pedro Henrique Muller,233,29
106080991421033,Siqueira Fonseca,Frederico Lopes Vieira,233,3
1937035283236472,Ap. Wellington Galdino,reator Digtal,233,2
335441603753041,Giga Soluções Interativas,Giga Soluções Interativas,233,7
1499477190264031,Ricardo Teobaldo,Ricardo Teobaldo,233,3
195764863844091,Reinaldo Kastanha,Reinaldo Fontes Pinheiro,232,5
197739580868959,Jorge Carreiro,Gabriel Ramos,232,5
334810013335023,Aluisio Mendes,Aluisio Guimaraes Mendes Filho,231,5
106411158613195,Brasil Patriota,Brasil Patriota,231,5
151135455036766,CBN Cuiabá,CBN CUIABÁ - RADIO CUIABANA DE MELODIAS LTDA,231,12
107064491018671,Tiago Peretto,Tiago Peretto,231,6
1006178096211177,Vereador Moisés Magalhães,Moises Magalhaes,231,9
102286364525852,Major Nunes Neto,Antonio Nunes Neto,231,5
1394061267354808,Marcelo Cruz,Marcelo Cruz da Silva,231,20
1786765631587858,Fenepospetro,Gisele Lima,230,5
2307187426264915,Ciro Pereira,Ciro Daniel de Souza Pereira da Silva,230,4
247755312382579,Hildo,Ildo Pantoja,230,3
108957370884306,Ronilson Reis,Ronilson Reis,230,7
100364081812814,Thaysa Lippy,thaysa lippy silva de souza,230,6
101970692449515,Auxílio - Retira Dívidas,These ads ran without a disclaimer,230,3
1794443944124603,Rubinho Pinheiro,Rubens Lobato Pinheiro Neto,230,6
107332435237318,UEPG O importante é você,Thiago Ribeiro,229,1
467229756748328,Walter Pinheiro Presidente 2022,Walter Pinheiro Da Silva,229,6
339310059494449,Marcos Godoy - Teco,Marcos Godoy,229,6
175968642528392,Centro Educacional Governador,These ads ran without a disclaimer,228,2
238135379538210,Cândido Vaccarezza,Candido Vaccarezza,228,1
155515955127748,Gabriel Córdova,Vereador Gabriel Cordova,228,7
118557124923801,Bonde Do Brasil,These ads ran without a disclaimer,227,1
960648404003583,Projeto Cidadania Ativa,These ads ran without a disclaimer,227,3
293964904817939,Sérgio Reis Sergipe,Artur Sérgio De Almeida Reis,227,6
1074377152603012,Stiueg - Urbanitários de Goiás,These ads ran without a disclaimer,226,2
1399843166956608,VARGAS,Carlos Eduardo Vargas Da Silva,226,4
364037797755496,HOJE Pernambuco,Hoje Pernambuco,226,2
404308036293197,Alex Chernehaque,These ads ran without a disclaimer,226,5
102127348988194,Estradas e Terreiros,TUTANO ESTRATEGIA E PERFORMANCE,226,2
100566265896881,Júlio Agápio - Na estrada por 22,Michel Vechia,226,11
739036226202828,Sindicomerciários Caxias do Sul,Sindicato dos Empregados no Comércio de Caxias do Sul,226,3
105868501584416,Jornal25News,Thiago Bertucci,226,16
101009141772639,Thulyo Paiva,Fayne Scalioni Alves,226,5
110392949649411,João Correia de Andrade,These ads ran without a disclaimer,226,3
303671377125969,Analice Enfermagem,Propaganda PSDB,225,3
115412421161798,Protetor Douglas Carbonne,Douglas Carbonne,225,2
118919814865081,Leo Dahmer,Leo Dahmer,225,3
801093093335547,Pedro Alcântara Sociedade de Advogados,These ads ran without a disclaimer,225,1
107076487819590,FAR,Paula Cundari,225,1
1733468200200560,Wellington Bielecki,Wellington Bielecki,225,7
2259559384365213,O Convergente,Fabricio Alexandre Aguiar,225,6
111534094364788,eduardo.oliveira.ofc,These ads ran without a disclaimer,225,1
101171344603489,Claudinho Vereador Betim,Claudio Fernandes,225,3
1674598842759218,Alisson Silva Corretor,These ads ran without a disclaimer,224,1
102801267921625,Walquiria Lourenço,Walquiria Agostinho Lourenço Andrade,224,5
931215210253332,Marcelo Álvaro Antônio,Deputado Federal Marcelo Álvaro Antônio,224,1
107969915212203,Joel Lucinda,Joel Orlando Lucinda,224,7
104476424615601,Danilo Nogueira,Danilo Nogueira,223,2
106989374358866,Pernambuco em Pauta,Pernambuco em Pauta,223,1
195687724136524,Vereador Manchinha,Wanderson Manchinha Silva Carvalho,223,7
185587841645129,Tony Medeiros,Joao Wellington De Medeiros Cursino,223,3
104904147942584,Andrey Dias,Andrey Fernando Dias,222,17
550225408323157,Prefeitura de Carmópolis,Boa Comunicação Ltda.,222,3
113695164148002,FHZ Yamaguro - Advogados,These ads ran without a disclaimer,222,1
104489882099917,Sconservadora,Sociedade Conservadora - Patos de Minas,222,2
240465273011113,Animed - Centro Médico Veterinário 24h & Pet Shop,These ads ran without a disclaimer,221,1
101206675257955,Osmar de Oliveira,Osmar Oliveira,220,2
100368631479576,Dauro Andrade - O saber liberta.,Dauro De Araujo Andrade,220,4
102827082202467,Apoiadores do Dr. Lahesio Bonfim Pré-candidato a Governador do Maranhão,Maxwell Carvalho Barbosa,220,2
192021200836317,Instituto Jô Clemente,Instituto Jô Clemente,220,3
317802285693711,TVBC,Sandro Machado De Miranda,220,14
451890981576627,Celso Sabino,Celso Sabino de Oliveira,220,14
1532755897054705,TV MAIS,TV MAIS MARICÁ,220,6
340186179736898,Ricardo Abrão,Ricardo David,220,5
1870404132998903,Dra Marina,Marina Santos,220,2
