Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
242919576048970,Rafael Parente,Rafael De Parente,19354,226
360282804039745,Reinaldo Azambuja,Reinaldo Azambuja Silva,19127,247
145608108896911,Frente Parlamentar da Agropecuária - FPA,Instituto Pensar Agropecuária,18991,96
105284685379962,Campo Grande em Alerta,CG,18922,252
128327663956877,Ney Leprevost,Ney Leprevost Neto,18815,76
131497886977001,Associação Paulista de Medicina,Associação Paulista de Medicina,18633,39
142099522556207,Weverton,Weverton Rocha,18622,70
379286655517152,Banco PAN,These ads ran without a disclaimer,18576,4
281003038621824,Simplício Araújo,Simplício Araújo,18522,51
481960978885807,Paula Belmonte,PAULA MORENO PARO BELMONTE,18521,142
146886662023714,Portal do Holanda,Portal do Holanda,18488,13
1188994537783502,Tribunal Regional Eleitoral de São Paulo,Tribunal Regional Eleitoral de São Paulo,18373,63
203326359677581,PCdoB - Partido Comunista do Brasil,PCdoB,18226,20
113454263811101,Arquimedes do Noroeste,Antonio Arquimedes Borges de Oliveira,17761,130
1894520370802455,Governo do Brasil,These ads ran without a disclaimer,17602,2
285083994905681,MDB Mulher Nacional,MOVIMENTO DEMOCRATICO BRASILEIRO BRASIL BR NACIONAL,17558,176
108157761384449,Alexandre Silveira MG,Alexandre Silveira,17425,15
1586855658234978,Detran Bahia,These ads ran without a disclaimer,17425,2
110092021309823,Eduardo Borges,Eduardo Borges,17186,78
520803328039440,Recicla Sampa,Eco Urbis e Loga,17108,35
219825344705412,Deputado André Corrêa,André Correa,17062,80
203087968415274,Matheus Silva,These ads ran without a disclaimer,17006,25
108815381586120,Ricardo Salles MMA,Ricardo De Aquino Salles,16806,14
1706482512937484,Bruno Engler,Bruno De Castro Engler Florencio De Almeida,16759,63
239451279837280,Daniel Donizet,DANIEL XAVIER DONIZET,16701,146
661866270570867,Deputado Federal Elias Vaz,Elias Vaz de Andrade,16623,215
426083354260570,Anahp,ANAHP- Associação Nacional de Hospitais Privados,16567,31
496443053731900,Alberto Mourão,Alberto Pereira Mourão,16543,57
436655656434516,Zênite Informação,Zênite Informação e Consultoria,16520,53
678761768950811,Luiz Philippe de Orleans e Bragança,Luiz Philippe de Orleans e Bragança,16331,63
534805630341699,Idecan Oficial,"INSTITUTO DE DESENVOLVIMENTO EDUCACIONAL, CULTURAL E ASSISTENCIAL NACIONAL",16230,40
1796853600564637,Jair Da Mendes Gomes,ADEJAIR SANCHES DE AGUIAR,15981,200
1840055949555538,Sargento Simões,Anderson Simoes,15438,166
163893463708223,Marcelo Vitorino,Vitorino & Mendonça,15228,96
507138922647845,Noraldino Júnior,Noraldino Júnior,15202,70
