Page ID,Page name,Disclaimer,Amount spent (USD)
192328200861085,"Frederick X Ravin III, MBA, MIS",Ravin Committee,808
1434770523406284,Sarah Crawford,Sarah For NC,802
106027058140745,Steve Miller for Congress,STEVE MILLER FOR CONGRESS,786
100776719189544,Tell Congress: Don't Let China Pull Ahead,Taxpayers Protection Alliance,782
100992801635617,Conservative-American.org,Conservative American Strategies,776
197461723779499,"Vasquez Law Firm, PLLC",William Junior Vasquez,770
1948531921832956,North Carolina Business Daily,Metric Media LLC,768
51405613519,Focus on the Family,Focus on the Family,766
227766300749737,Don Davis,DON DAVIS FOR NC,764
510468065691507,Ed Yerha - Cary Town Council,Committee To Elect Ed Yerha,750
102393992239549,CastelliforCongress2022,The Committee to Elect Christian Castelli,741
17023576156,The Leadership Conference on Civil and Human Rights,The Leadership Conference on Civil and Human Rights,735
708346842676287,Dan Bishop,BISHOP FOR CONGRESS,732
103800138257034,The Assembly,The Assembly,729
110177119192569,Knightscope,"Knightscope, Inc.",723
16477459734,League of Conservation Voters,"LEAGUE OF CONSERVATION VOTERS, INC",716
318196171580489,Ron DeSantis,Friends of Ron DeSantis,709
1318439511565011,Financial Study Network,Financial Study Network,708
305380096638473,Charles Booker,Booker for Kentucky,702
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,699
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,697
345378512258813,Elise Stefanik,ELISE FOR CONGRESS,686
197908256931216,Tim Ryan,TIM RYAN FOR OHIO,679
256043277748645,NetChoice,NETCHOICE,674
586963558438365,P-Valley,These ads ran without a disclaimer,668
104891784668608,North Carolinians for Affordable Rx,North Carolinians for Affordable Rx,654
108774614054683,American Edge Project,American Edge,644
107005161695319,Herschel Walker,"TEAM HERSCHEL, INC.",643
121268821249550,World Central Kitchen,World Central Kitchen,635
372582936263459,Julie Mayfield for NC Senate,Julie Mayfield for NC Senate,627
7030901126,Campaign for Tobacco-Free Kids,Campaign for Tobacco-Free Kids,625
107480325079198,Hon Donnie Loftis,Donnie Loftis for NC House,623
100289605857598,United Solutions,United Solutions,619
188574678601911,James Blakley,Blakley for Commissioner,618
42872222699,Dana Loesch,The Association of Mature American Citizens Inc,618
109520054693011,Trump Updates,Save America Joint Fundraising Committee,615
369309166748535,Derek Utley,Tomer Barazani,610
109791514174404,Homeland Insurance,Homeland Insurance,607
11791104453,NRDC,Natural Resources Defense Council,599
