Page ID,Page name,Disclaimer,Amount spent (USD)
121268821249550,World Central Kitchen,WORLD CENTRAL KITCHEN INC,1164
143096702428076,"Orange and Rockland Utilities, Inc.",Orange & Rockland Utilities Inc,1112
106088071734455,NY Unpaid Wages & Overtime Claims,Tort Group LLC,1108
304953186983,Planned Parenthood of Greater New York,Planned Parenthood of Greater New York,1106
18983389920,Open Society Foundations,Open Society Foundations,1103
698199303902711,Hercules For NYS Assembly,Friends of Hercules,1098
7030901126,Campaign for Tobacco-Free Kids,TOBACCO-FREE KIDS ACTION FUND,1090
102757624532911,NYC Mayor's Public Engagement Unit,City of New York,1039
206677396413254,Abortion On Our Own Terms,Abortion On Our Own Terms,1019
570092813023833,Matt Walsh,The Daily Wire,1005
198024590300902,Josh Shapiro,Josh Shapiro,1005
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,999
1435071773455316,Daily Wire,The Daily Wire,975
2602473023098666,Democratic Polling Center,Democratic Governors Association,967
73528878871,Center for Reproductive Rights,Center for Reproductive Rights,947
83996318078,Change.org,"Change.org, PBC",933
39910576365,National Alliance for Public Charter Schools,NATIONAL ALLIANCE FOR PUBLIC CHARTER SCHOOLS,899
8325302025,Friends of the Earth U.S.,Friends of the Earth,889
341193070013043,Realities of Single Payer,Realities of Single Payer,888
104760636770,Vera Institute of Justice,"VERA INSTITUTE OF JUSTICE, INC.",867
5720973755,Defenders of Wildlife,DEFENDERS OF WILDLIFE,864
7835151610,Carolyn B. Maloney,MALONEY FOR CONGRESS,860
297987334762,Jamie Raskin,Jamie Raskin for Congress,860
30914589895,The International Fellowship of Christians and Jews,INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS INC,854
8492293163,Environmental Defense Fund,Environmental Defense Fund,838
114720264544782,Moving Forward,Seniors Today USA,830
108281434237351,UBS Financial Services Inc.,UBS Financial Services,829
13885075114,Action Against Hunger USA,ACTION AGAINST HUNGER - USA,799
7341997111,Conservation International,Conservation International,797
383677738397139,Association for Accessible Medicines,Association for Accessible Medicines,783
156968474833352,Stop Republicans,Stop Republicans,782
754765191295614,Town of Hempstead,Town of Hempstead,773
25852730092,Care2,"Care2.com, Inc",773
100684991996307,November Coalition,NOVEMBER COALITION,752
6236054211,Brady: United Against Gun Violence,Brady Campaign to Prevent Gun Violence,749
43287633515,Action for the Climate Emergency,Action for the Climate Emergency,742
136334769594,Martha's Vineyard Film Society,MARTHA'S VINEYARD FILM SOCIETY INC,736
100286672572145,Manny for The Bronx,Emmanuel Martinez,736
118737467661,New York State Department of Labor,New York State Department of Labor,734
109520054693011,Trump Updates,Save America Joint Fundraising Committee,717
135332839847855,Abortion Care Network,ABORTION CARE NETWORK,717
187005858017014,Climate Power,Climate Power,714
