Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
1470540296409810,Fair Fight Action,FAIR FIGHT,55383,30
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,41003,535
127225910653607,PragerU,PragerU,32649,265
104530258866956,Stop the Corporate Online Gambling Prop,"Coalition for Safe, Responsible Gaming, Sponsored by California Indian Tribes. Committee major funding from: Pechanga Band of Indians, Yocha Dehe Wintun Nation, Agua Caliente Band of Cahuilla Indians. Funding Details at www.fppc.ca.gov",30428,13
102558898865449,Don't Break What Works,COMPUTER & COMMUNICATIONS INDUSTRY ASSOCIATION,25110,144
215653202574079,Future Majority,"Future Majority, Inc",23247,19
107483817554072,WorkMoney,WorkMoney,22132,163
101828156534504,He Gets Us,He Gets Us LLC,22066,347
100776719189544,Tell Congress: Don't Let China Pull Ahead,Taxpayers Protection Alliance,19034,87
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,18575,246
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,17544,112
18982436812,ACLU,American Civil Liberties Union,16746,219
143055773143383,Patients For Affordable Drugs NOW,Patients for Affordable Drugs Now,16616,44
108774614054683,American Edge Project,American Edge,14762,117
102851832441142,Vote Schubert for Attorney General,Peace Officers Research Association of California (PORAC) Statewide Independent Expenditure Committee.,14139,1
203805062990264,Ben Shapiro,The Daily Wire,13523,37
87186661244,Johns Hopkins Bloomberg School of Public Health,Johns Hopkins Bloomberg School of Public Health,13510,80
100449462644726,The Real Richard Irvin,Democratic Governors Association,13194,1
105783027731211,A Better Arizona,Priorities USA and Majority Forward,12417,58
441242156439675,Jessica Cisneros,Jessica Cisneros for Congress,11633,73
123450447708791,Energy Upgrade California,California Public Utilities Commission,10926,74
20531316728,Facebook App,"Facebook, Inc.",10861,1
192448150001,Jeff Anderson & Associates,Jeffrey R Anderson PA,10839,135
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,10144,809
40217893542,AIPAC,AIPAC,10031,108
19972147679,SEIU,SEIU,9627,24
110022477032429,Admiral Mike Franken,"MICHAEL FRANKEN FOR IOWA, INC",9455,96
10128918116,Gavin Newsom,NEWSOM FOR CALIFORNIA GOVERNOR 2022,9447,10
104168485489436,Irvin/Bourne For Illinois,Irvin for Illinois,9387,81
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,9273,138
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,9160,20
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",8839,64
100104419147228,Do Good Chicken,DO GOOD FOODS LLC,8797,106
107005161695319,Herschel Walker,"TEAM HERSCHEL, INC.",8749,44
214821605377109,Stacey Abrams,Stacey Abrams for Governor,8421,294
238142787549374,Teddy Kapur,Teddy Kapur for City Attorney 2022,8234,13
102652189120937,Stop Cheri Beasley,NRSC,7882,15
27544763621,Prison Fellowship,Prison Fellowship,7829,172
385473284886474,Hillsdale College,Hillsdale College,7674,43
110924734766613,Tim James For Governor,"Tim James Governor 2022, Inc.",7649,33
140357056032320,NEA Today,National Education Association,7505,12
102391291904684,Marcus Flowers For Congress,Marcus Flowers for Congress,7472,132
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",7229,73
106568024842114,Rideshare Assault Support,Select Justice LLC,7176,10
109530971386075,Georgians First Leadership Committee,Georgians First Leadership Committee,6987,9
102840585628737,"Eileen Dordek,  Democrat for State Rep",Friends of Eileen Dordek,6926,44
92925746942,Judicial Watch,Judicial Watch,6911,154
7030901126,Campaign for Tobacco-Free Kids,TOBACCO-FREE KIDS ACTION FUND,6853,45
305380096638473,Charles Booker,Booker for Kentucky,6779,38
100722909218796,United Democracy Project,UNITED DEMOCRACY PROJECT,6623,14
1593518174052711,Candace Owens,Daily Wire,6397,12
108224508443005,Wisconsin Forward,MAJORITY FORWARD,6383,6
570092813023833,Matt Walsh,The Daily Wire,6335,25
134498556891640,Val Demings,Val Demings for U.S. Senate,6310,61
228754857151053,House Majority PAC,House Majority PAC,6271,11
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",6225,71
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,6097,106
106953981943902,No on Ventura Measures A and B,"Stop Measures A & B – A Coalition of Working Families for Jobs and Energy Independence, Supported by Energy Producers. Committee major funding from Aera Energy and Chevron.",5980,35
168496243781414,Mayor Giselle Hale,Giselle Hale for Assembly 2022,5978,6
100113545962506,Californians for Solutions to Homelessness and Mental Health Support,"Californians for Solutions to Homelessness and Mental Health Support, a Coalition of Housing and Mental Health Experts, Concerned Taxpayers and Digital Sports Entertainment and Gaming Companies. Funding Details at www.fppc.ca.gov",5916,5
87023326103,Kathy Hochul,Friends for Kathy Hochul,5871,40
114008535880,Foundation for Individual Rights in Education,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,5816,36
97279934919,bp America,BP CORPORATION NORTH AMERICA INC.,5800,2
106216341779798,Mobilize to keep loved ones safe,GOTVAX INC,5710,4
106575778297762,Yvonne Yiu for State Controller,Yvonne Yiu for State Controller 2022,5586,23
171565247869,AARP Louisiana,AARP,5459,1
6355071377,American Cancer Society Cancer Action Network - ACS CAN,AMERICAN CANCER SOCIETY CANCER ACTION NETWORK INC,5232,43
100154819369749,Eric Mattson For Senate,Friends for Eric Mattson,5150,4
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,5146,195
230201093693895,Betsy Johnson,Run Betsy Run,5055,113
1615615415135060,Brad Raffensperger,"Brad for Georgia SOS, Inc.",5000,5
103539998955496,Arkansas Tourism Alliance,Arkansas Tourism Alliance,5000,105
110151825012670,Urban Empowerment Action PAC,"URBAN EMPOWERMENT ACTION PAC, INC.",5000,2
105096648830545,American Dream Federal Action,American Dream Federal Action. Not authorized by any candidate or candidate's committee.,5000,27
108617051499061,Ándale Qué Esperas,AltaMed Health Services,5000,6
110847698099863,Solarquote.org,"Lead Genesis, LLC",5000,14
110746996993983,The 'Gander Newsroom,"Courier Newsroom, Inc.",4949,25
376776419037747,Turning Point USA,"Turning Point USA, Inc.",4929,26
85337666730,Republican Governors Association (RGA),REPUBLICAN GOVERNORS ASSOCIATION,4912,32
112018258177670,Next Generation Georgia,Next Generation Georgia,4840,12
46743242445,Green Mountain Energy Company,Green Mountain Energy,4809,24
8291852604,Tobacco Free Florida,Florida Department of Health Bureau of Tobacco Free Florida,4626,48
130268756992804,Yale Climate Connections,Yale Program on Climate Change Communication with Facebook Ad Credits,4535,25
256043277748645,NetChoice,NETCHOICE,4516,79
109418838263843,Lew Burdette for Governor,LEWin22 For Governor,4491,24
11791104453,NRDC,Natural Resources Defense Council,4483,168
121268821249550,World Central Kitchen,World Central Kitchen,4294,18
15771560300,Earthjustice,EARTHJUSTICE,4289,61
206226362732803,Inspire Clean Energy,"Inspire Energy Holdings, LLC",4214,286
109092142462587,Adam Schiff,SCHIFF FOR CONGRESS,4172,14
9182608316,California Democratic Party,CALIFORNIA DEMOCRATIC PARTY,4149,7
84177291169,"Dairy Farmers of America, Inc.",DAIRY FARMERS OF AMERICA INC,4133,28
579945178720985,Cheri Beasley,CHERI BEASLEY FOR NORTH CAROLINA,4087,34
223055747744143,Beto O'Rourke,Beto for Texas,3889,107
181888625087,Greg Abbott,Texans for Greg Abbott,3877,43
197908256931216,Tim Ryan,TIM RYAN FOR OHIO,3874,95
289161024470532,OCA Greater Houston,OCA-GREATER HOUSTON,3865,10
107170921673044,Jennifer Strahan for Congress,STRAHAN FOR CONGRESS,3852,6
105308481683326,Nathan Hochman for Attorney General 2022,Nathan Hochman For Attorney General 2022,3807,4
1435071773455316,Daily Wire,The Daily Wire,3737,53
103890201865069,Joe Lombardo for Governor,Lombardo for Governor,3683,14
109520054693011,Trump Updates,Save America Joint Fundraising Committee,3617,94
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,3617,40
100945992520958,Rick Caruso,"Rick Caruso for Mayor 2022, 101 The Grove Drive, Los Angeles. Additional information is available at ethics.lacity.org.",3604,3
6514736316,Walden University,Walden University,3496,6
6204742571,Sierra Club,SIERRA CLUB,3454,88
318196171580489,Ron DeSantis,Friends of Ron DeSantis,3451,213
110647840532680,Merge Mayor,These ads ran without a disclaimer,3322,1
51405613519,Focus on the Family,Focus on the Family,3300,77
198024590300902,Josh Shapiro,Josh Shapiro,3280,13
72931140459,Center for Biological Diversity,"CENTER FOR BIOLOGICAL DIVERSITY, INC.",3279,30
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,3278,199
428821014132730,Katie Porter,Katie Porter For Congress,3263,120
314808986017,John Boozman,BOOZMAN FOR ARKANSAS,3246,11
210820618956311,Community Change Action,Community Change Action,3193,62
1023516414456183,Drain the DC Swamp PAC,DRAIN THE DC SWAMP PAC,3172,14
96935476345,Democratic Governors Association (DGA),"Democratic Action, democraticgovernors.org, not authorized by any candidate or candidate's committee.",3149,60
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,3144,85
113778833499506,California Labor and Business Alliance,California Labor and Business Alliance,3129,88
351521204963267,County of San Mateo - Government,County of San Mateo,3114,4
100945992520958,Rick Caruso,Rick Caruso for Mayor 2022,3106,2
1374601146109275,French Hill for Arkansas,French Hill for Arkansas,3099,17
7030901126,Campaign for Tobacco-Free Kids,Campaign for Tobacco-Free Kids,3050,11
137678529195,Valley Partnership,Valley Partnership,3043,16
140499052681592,Bank of the West,BANK OF THE WEST,3013,35
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,2990,235
293521930164,Planned Parenthood Votes New Mexico,Planned Parenthood Votes NM Coordinated Committee,2975,34
108887515128830,Communities United for Bass for L.A. Mayor 2022,Communities United for Bass for LA Mayor 2022,2949,21
118714808054,Mi Familia Vota,Mi Familia Vota,2938,10
1632814840319802,John Fetterman,Fetterman for PA,2897,181
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,2836,4
101375062242163,Elect Mike Jones for Alabama Senate- District 31,Mike Jones Campaign,2812,15
101618731578740,Granite State Strong,MAJORITY FORWARD,2789,4
1600352356914768,PushBlack,PushBlack,2782,53
112936891157255,Joe O'Dea for Colorado,JOE O'DEA FOR SENATE,2777,3
405962819524364,Mike Collier,COLLIER COMMITTEE,2765,30
535186963191852,CUNA,Credit Union National Association,2763,15
92021268117,Working America,Working America,2747,15
106368917901920,Grow SF PAC,Coalition to Grow San Francisco - Grow SF PAC,2746,34
115050083954556,Faisal Gill for Los Angeles City Attorney,Faisal Gill for Los Angeles City Attorney,2734,3
100992801635617,Conservative-American.org,Conservative American Strategies,2697,3
580610428636345,Fight for $15,Fight for $15,2690,119
106667474170866,A Better Wisconsin Together,"A Better Wisconsin Together, Inc.",2671,71
134535726580904,Maggie Hassan,Maggie for NH,2663,105
106470774923973,Nomi Health,"Nomi Health, Inc.",2662,20
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,2655,151
344690446467832,The Copper Courier,"Courier Newsroom, Inc.",2634,19
55549065733,Voto Latino,VOTO LATINO INC.,2629,47
17432811417,Working Families Party,Working Families Party National Political Action Committee,2575,9
102696611873936,Baytieh for Judge,Baytieh for Judge,2549,8
470241276500901,Women Vote,WOMEN VOTE!,2549,22
2353537341582545,Proud Patriots,Proud Patriots,2546,172
320509205167290,Illinois Daily,JB for Governor,2542,33
42872222699,Dana Loesch,The Association of Mature American Citizens Inc,2541,20
113768033675093,Greater New York Hospital Association,"GREATER NEW YORK HOSPITAL ASSOCIATION, INC",2523,9
49651563727,Live Action,Live Action,2492,172
239029093423,Dave Jones,Dave Jones for State Senate 2022,2472,19
467404727074689,Georgia Working Families Party,Working Families Party National Independent Expenditure Committee,2470,4
1812305765524944,Juan Carrillo,Juan Carrillo for Assembly 2022,2434,30
30914589895,The International Fellowship of Christians and Jews,INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS INC,2426,49
111687831420243,Brian Christine for State Senate,Christine For Senate,2424,4
43287633515,Action for the Climate Emergency,Action for the Climate Emergency,2412,59
309308412520731,Sandy Hook Promise,Sandy Hook Promise,2408,13
1470540296409810,Fair Fight Action,"Fair Fight Action, Inc.",2387,14
1466899026667895,Housing Now,Housing Now,2380,16
108715768240523,Citizens Bulletin,House Majority Forward,2339,10
173517072696584,George P. Bush,George P Bush Campaign,2307,3
112258312240526,Con Edison,"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.",2301,8
201248453800242,My Pay My Say,Mackinac Center for Public Policy,2301,27
109396544993347,Save America,Future Tech Product,2274,34
103565195134756,America First Policy Institute,America First Policy Institute,2271,24
