Location name,Amount spent (USD)
Alabama,1012123
Alaska,165617
American Samoa,≤100
Arizona,2017304
Arkansas,840735
California,8746685
Colorado,1038691
Connecticut,491252
Delaware,151524
Florida,2665758
Georgia,3808708
Guam,25693
Hawaii,171332
Idaho,579171
Illinois,2063962
Indiana,782444
Iowa,593362
Kansas,351146
Kentucky,858167
Louisiana,482541
Maine,281636
Maryland,934385
Massachusetts,836758
Michigan,1668221
Minnesota,777352
Mississippi,253463
Missouri,731455
Montana,220051
Nebraska,373206
Nevada,944942
New Hampshire,593064
New Jersey,1141625
New Mexico,283282
New York,2657376
North Carolina,2507261
North Dakota,64326
Northern Mariana Islands,≤100
Ohio,2068331
Oklahoma,480511
Oregon,1576907
Pennsylvania,3018066
Puerto Rico,19787
Rhode Island,160295
South Carolina,616161
South Dakota,169618
Tennessee,756972
Texas,3902024
Unknown,962
Utah,408605
Vermont,143372
Virgin Islands (U.S.),277
Virginia,1039356
Washington,930329
"Washington, District of Columbia",413451
West Virginia,587495
Wisconsin,1048701
Wyoming,93638
