Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,259210,767
143055773143383,Patients For Affordable Drugs NOW,Patients for Affordable Drugs Now,203271,132
1470540296409810,Fair Fight Action,FAIR FIGHT,202435,45
127225910653607,PragerU,PragerU,195615,524
101828156534504,He Gets Us,He Gets Us LLC,152766,366
102558898865449,Don't Break What Works,COMPUTER & COMMUNICATIONS INDUSTRY ASSOCIATION,149064,193
104530258866956,Stop the Corporate Online Gambling Prop,"Coalition for Safe, Responsible Gaming, Sponsored by California Indian Tribes. Committee major funding from: Pechanga Band of Indians, Yocha Dehe Wintun Nation, Agua Caliente Band of Cahuilla Indians. Funding Details at www.fppc.ca.gov",133892,18
107483817554072,WorkMoney,WorkMoney,133283,175
215653202574079,Future Majority,"Future Majority, Inc",130296,27
134498556891640,Val Demings,Val Demings for U.S. Senate,115456,121
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,114792,136
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,108985,274
18982436812,ACLU,American Civil Liberties Union,101591,508
441242156439675,Jessica Cisneros,Jessica Cisneros for Congress,93186,169
108774614054683,American Edge Project,American Edge,91302,118
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,90603,207
203805062990264,Ben Shapiro,The Daily Wire,89908,56
105783027731211,A Better Arizona,Priorities USA and Majority Forward,83485,58
100776719189544,Tell Congress: Don't Let China Pull Ahead,Taxpayers Protection Alliance,78079,147
192448150001,Jeff Anderson & Associates,Jeffrey R Anderson PA,73231,139
20531316728,Facebook App,"Facebook, Inc.",71378,1
1632814840319802,John Fetterman,Fetterman for PA,67585,496
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,65671,861
113553048669158,Rick Scott,RICK SCOTT FOR FLORIDA,65455,310
123450447708791,Energy Upgrade California,California Public Utilities Commission,64976,78
19972147679,SEIU,SEIU,62446,50
100104419147228,Do Good Chicken,DO GOOD FOODS LLC,61685,107
102391291904684,Marcus Flowers For Congress,Marcus Flowers for Congress,61205,133
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",59186,138
104168485489436,Irvin/Bourne For Illinois,Irvin for Illinois,58583,97
110022477032429,Admiral Mike Franken,"MICHAEL FRANKEN FOR IOWA, INC",58414,207
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",57941,68
107005161695319,Herschel Walker,"TEAM HERSCHEL, INC.",57499,96
40217893542,AIPAC,AIPAC,57491,127
10128918116,Gavin Newsom,NEWSOM FOR CALIFORNIA GOVERNOR 2022,55324,11
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",53745,89
100722909218796,United Democracy Project,UNITED DEMOCRACY PROJECT,53618,62
1593518174052711,Candace Owens,Daily Wire,51493,19
27544763621,Prison Fellowship,Prison Fellowship,50878,210
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,48796,20
214821605377109,Stacey Abrams,Stacey Abrams for Governor,48208,509
106568024842114,Rideshare Assault Support,Select Justice LLC,47405,10
140357056032320,NEA Today,National Education Association,46991,26
100449462644726,The Real Richard Irvin,Democratic Governors Association,45559,4
92925746942,Judicial Watch,Judicial Watch,45329,167
96935476345,Democratic Governors Association (DGA),"Democratic Action, democraticgovernors.org, not authorized by any candidate or candidate's committee.",44924,63
228754857151053,House Majority PAC,House Majority PAC,44737,13
109530971386075,Georgians First Leadership Committee,Georgians First Leadership Committee,44107,14
238142787549374,Teddy Kapur,Teddy Kapur for City Attorney 2022,42789,13
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,42464,115
7030901126,Campaign for Tobacco-Free Kids,TOBACCO-FREE KIDS ACTION FUND,42206,70
168496243781414,Mayor Giselle Hale,Giselle Hale for Assembly 2022,41856,16
108224508443005,Wisconsin Forward,MAJORITY FORWARD,41564,6
108617051499061,Ándale Qué Esperas,AltaMed Health Services,41347,20
385473284886474,Hillsdale College,Hillsdale College,40855,45
87186661244,Johns Hopkins Bloomberg School of Public Health,Johns Hopkins Bloomberg School of Public Health,39900,80
102851832441142,Vote Schubert for Attorney General,Peace Officers Research Association of California (PORAC) Statewide Independent Expenditure Committee.,39877,1
1470540296409810,Fair Fight Action,"Fair Fight Action, Inc.",39765,24
570092813023833,Matt Walsh,The Daily Wire,39730,41
223055747744143,Beto O'Rourke,Beto for Texas,38934,328
100113545962506,Californians for Solutions to Homelessness and Mental Health Support,"Californians for Solutions to Homelessness and Mental Health Support, a Coalition of Housing and Mental Health Experts, Concerned Taxpayers and Digital Sports Entertainment and Gaming Companies. Funding Details at www.fppc.ca.gov",38462,5
230201093693895,Betsy Johnson,Run Betsy Run,38263,164
103714308898952,Protect Our Future PAC,Protect Our Future PAC,38199,17
114008535880,Foundation for Individual Rights in Education,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,37303,48
106575778297762,Yvonne Yiu for State Controller,Yvonne Yiu for State Controller 2022,36465,43
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,36311,312
87023326103,Kathy Hochul,Friends for Kathy Hochul,35571,68
110847698099863,Solarquote.org,"Lead Genesis, LLC",35000,28
105096648830545,American Dream Federal Action,American Dream Federal Action. Not authorized by any candidate or candidate's committee.,34983,57
103539998955496,Arkansas Tourism Alliance,Arkansas Tourism Alliance,34559,109
579945178720985,Cheri Beasley,CHERI BEASLEY FOR NORTH CAROLINA,33932,58
1615615415135060,Brad Raffensperger,"Brad for Georgia SOS, Inc.",33884,28
105308481683326,Nathan Hochman for Attorney General 2022,Nathan Hochman For Attorney General 2022,33807,70
15771560300,Earthjustice,EARTHJUSTICE,33009,130
106953981943902,No on Ventura Measures A and B,"Stop Measures A & B – A Coalition of Working Families for Jobs and Energy Independence, Supported by Energy Producers. Committee major funding from Aera Energy and Chevron.",32963,35
8291852604,Tobacco Free Florida,Florida Department of Health Bureau of Tobacco Free Florida,32018,50
428821014132730,Katie Porter,Katie Porter For Congress,31860,196
85337666730,Republican Governors Association (RGA),REPUBLICAN GOVERNORS ASSOCIATION,31415,50
256043277748645,NetChoice,NETCHOICE,30098,178
110746996993983,The 'Gander Newsroom,"Courier Newsroom, Inc.",30092,41
1435071773455316,Daily Wire,The Daily Wire,29897,102
130268756992804,Yale Climate Connections,Yale Program on Climate Change Communication with Facebook Ad Credits,29640,25
100154819369749,Eric Mattson For Senate,Friends for Eric Mattson,29560,4
46743242445,Green Mountain Energy Company,Green Mountain Energy,29371,24
11791104453,NRDC,Natural Resources Defense Council,29365,286
206226362732803,Inspire Clean Energy,"Inspire Energy Holdings, LLC",28749,290
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,28673,52
156994304362574,American Bridge 21st Century,AMERICAN BRIDGE 21ST CENTURY,28631,110
305380096638473,Charles Booker,Booker for Kentucky,28584,64
209516845093,NRDC Action Fund,NRDC Action Fund,28369,25
97279934919,bp America,BP CORPORATION NORTH AMERICA INC.,27560,2
100741402225790,Quaye Quartey for Congress,QUARTEY FOR CONGRESS,27451,30
84177291169,"Dairy Farmers of America, Inc.",DAIRY FARMERS OF AMERICA INC,27406,28
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,26982,299
109520054693011,Trump Updates,Save America Joint Fundraising Committee,26746,106
9182608316,California Democratic Party,CALIFORNIA DEMOCRATIC PARTY,26548,10
197908256931216,Tim Ryan,TIM RYAN FOR OHIO,25543,271
110177119192569,Knightscope,"Knightscope, Inc.",25368,18
102652189120937,Stop Cheri Beasley,NRSC,25261,15
376776419037747,Turning Point USA,"Turning Point USA, Inc.",24905,32
101445435512612,"Coalition for Public Safety Reform, Training and Transparency","Coalition for Public Safety Reform, Training and Transparency",24534,12
112258312240526,Con Edison,"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.",24482,8
1669941646417657,Senior Choice Financial,Andrea Marroquin,24122,170
103890201865069,Joe Lombardo for Governor,Lombardo for Governor,24005,15
110924734766613,Tim James For Governor,"Tim James Governor 2022, Inc.",23854,38
108380923919757,Health Insurance Hero,Health Insurance Hero,23527,144
995045460505806,Sacramento Metropolitan Chamber PAC,Sacramento Metropolitan Chamber PAC,22870,44
6514736316,Walden University,Walden University,22659,6
121268821249550,World Central Kitchen,World Central Kitchen,21799,23
344690446467832,The Copper Courier,"Courier Newsroom, Inc.",21788,49
100945992520958,Rick Caruso,"Rick Caruso for Mayor 2022, 101 The Grove Drive, Los Angeles. Additional information is available at ethics.lacity.org.",21460,3
51405613519,Focus on the Family,Focus on the Family,21460,113
72931140459,Center for Biological Diversity,"CENTER FOR BIOLOGICAL DIVERSITY, INC.",21006,30
100945992520958,Rick Caruso,Rick Caruso for Mayor 2022,20946,2
103552914774916,Science Moms,Potential Energy Coalition Inc,20726,78
118714808054,Mi Familia Vota,Mi Familia Vota,20462,10
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,20338,90
7030901126,Campaign for Tobacco-Free Kids,Campaign for Tobacco-Free Kids,20317,11
345378512258813,Elise Stefanik,ELISE FOR CONGRESS,20315,90
102840585628737,"Eileen Dordek,  Democrat for State Rep",Friends of Eileen Dordek,19988,47
17432811417,Working Families Party,Working Families Party National Political Action Committee,19972,43
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,19947,174
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,19630,281
100289605857598,United Solutions,United Solutions,19482,388
140499052681592,Bank of the West,BANK OF THE WEST,19387,35
100992801635617,Conservative-American.org,Conservative American Strategies,19118,3
20787991568,Senate Democrats,DSCC,19099,112
309308412520731,Sandy Hook Promise,Sandy Hook Promise,18918,13
110647840532680,Merge Mayor,These ads ran without a disclaimer,18723,2
113778833499506,California Labor and Business Alliance,California Labor and Business Alliance,18573,138
25852730092,Care2,"Care2.com, Inc",18262,197
580610428636345,Fight for $15,Fight for $15,18019,134
318196171580489,Ron DeSantis,Friends of Ron DeSantis,17873,389
108887515128830,Communities United for Bass for L.A. Mayor 2022,Communities United for Bass for LA Mayor 2022,17636,30
55549065733,Voto Latino,VOTO LATINO INC.,17493,68
102696611873936,Baytieh for Judge,Baytieh for Judge,17042,8
181905291872128,Illinois House Republicans,Illinois House Republicans,17017,70
106667474170866,A Better Wisconsin Together,"A Better Wisconsin Together, Inc.",16870,71
181888625087,Greg Abbott,Texans for Greg Abbott,16811,56
42872222699,Dana Loesch,The Association of Mature American Citizens Inc,16778,20
