Location name,Amount spent (USD)
Alabama,2142598
Alaska,495790
American Samoa,110
Arizona,5426572
Arkansas,1666242
California,19217017
Colorado,2653104
Connecticut,1389023
Delaware,470309
Florida,7770078
Georgia,9094582
Guam,35289
Hawaii,472068
Idaho,1091406
Illinois,5070576
Indiana,2183962
Iowa,1644010
Kansas,972990
Kentucky,1868965
Louisiana,1590094
Maine,948970
Maryland,2802899
Massachusetts,2434474
Michigan,4793475
Minnesota,1915358
Mississippi,873123
Missouri,2103727
Montana,560221
Nebraska,870042
Nevada,2176292
New Hampshire,1115491
New Jersey,2825397
New Mexico,733556
New York,7574726
North Carolina,4913116
North Dakota,190239
Northern Mariana Islands,≤100
Ohio,5296024
Oklahoma,1512515
Oregon,3167525
Pennsylvania,6788975
Puerto Rico,101379
Rhode Island,378925
South Carolina,1704854
South Dakota,445449
Tennessee,2193376
Texas,10675549
Unknown,10239
Utah,1234934
Vermont,379514
Virgin Islands (U.S.),4528
Virginia,3178035
Washington,2508701
"Washington, District of Columbia",1080773
West Virginia,1420173
Wisconsin,3353118
Wyoming,254356
