Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
140357056032320,NEA Today,National Education Association,250652,188
431891506856669,Dove,Unilever,248958,41
106667474170866,A Better Wisconsin Together,"A Better Wisconsin Together, Inc.",246847,402
42872222699,Dana Loesch,The Association of Mature American Citizens Inc,244008,58
85337666730,Republican Governors Association (RGA),REPUBLICAN GOVERNORS ASSOCIATION,243391,219
121268821249550,World Central Kitchen,WORLD CENTRAL KITCHEN INC,239665,60
132066233534659,Healthcare Education Project,Healthcare Education Project,238156,16
19972147679,SEIU,SEIU,235397,233
35169196082,Project HOPE,"PROJECT HOPE-THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION, INC.",235198,815
100992801635617,Conservative-American.org,Conservative American Strategies,235046,49
69983322463,Ted Cruz,TED CRUZ FOR SENATE,235044,61
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,234528,382
206226362732803,Inspire Clean Energy,"Inspire Energy Holdings, LLC",233070,518
580610428636345,Fight for $15,Fight for $15,230903,500
17002121901,Lancôme,L OREAL USA,227462,4
100449462644726,The Real Richard Irvin,Democratic Governors Association,227147,6
143528022388140,The Allstate Foundation,The Allstate Foundation,223372,58
192448150001,Jeff Anderson & Associates,Jeffrey R Anderson PA,218632,189
110847698099863,Solarquote.org,"Lead Genesis, LLC",218519,143
105228065418497,The Main Street Sentinel,The Main Street Sentinel,216683,836
29727753421,New Jersey Education Association,NEW JERSEY EDUCATION ASSOCIATION,214874,21
20787991568,Senate Democrats,DSCC,212502,435
100485764982266,Only One,Only One,211389,199
104530258866956,Stop the Corporate Online Gambling Prop,"Coalition for Safe, Responsible Gaming, Sponsored by California Indian Tribes. Committee major funding from: Pechanga Band of Indians, Yocha Dehe Wintun Nation, Agua Caliente Band of Cahuilla Indians. Funding Details at www.fppc.ca.gov",210165,51
109097990639753,Advance Colorado Action,Advance Colorado Action,209755,148
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,208997,108
181888625087,Greg Abbott,Texans for Greg Abbott,208749,121
113553048669158,Rick Scott,RICK SCOTT FOR FLORIDA,208405,389
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,207261,1614
2353537341582545,Proud Patriots,Proud Patriots,206391,3581
10128918116,Gavin Newsom,NEWSOM FOR CALIFORNIA GOVERNOR 2022,206039,28
80562389320,NARAL Pro-Choice America,NARAL PRO-CHOICE AMERICA CORP,203853,83
195994800434559,San Manuel Band of Mission Indians,SAN MANUEL BAND OF MISSION INDIANS,203581,37
230201093693895,Betsy Johnson,Run Betsy Run,199637,1242
8492293163,Environmental Defense Fund,Environmental Defense Fund,195350,737
25852730092,Care2,"Care2.com, Inc",194043,1879
35541499994,Dr. Mehmet Oz,DOCTOR OZ FOR SENATE,192097,243
309308412520731,Sandy Hook Promise,Sandy Hook Promise,190200,170
5720973755,Defenders of Wildlife,DEFENDERS OF WILDLIFE,187508,573
30139072158,CARE,"COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE, INC. (CARE)",187300,419
441242156439675,Jessica Cisneros,Jessica Cisneros for Congress,186874,879
20531316728,Facebook App,"Facebook, Inc.",185231,2
6204742571,Sierra Club,SIERRA CLUB,184007,313
665345483483486,NRA - National Rifle Association of America,NATIONAL RIFLE ASSN OF AMERICA,183630,662
579945178720985,Cheri Beasley,CHERI BEASLEY FOR NORTH CAROLINA,179722,257
266572105200167,Advancing Americans Group,Advancing Americans Group,174650,167
6514736316,Walden University,Walden University,174633,21
100289605857598,United Solutions,United Solutions,174424,2305
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,174225,1991
1600352356914768,PushBlack,PushBlack,173344,250
130945114804,World Jewish Congress,WORLD JEWISH CONGRESS AMERICAN SECTION INC,172947,46
103565195134756,America First Policy Institute,America First Policy Institute,172878,84
432386793516356,Tom Suozzi,Suozzi for NY,171028,21
87023326103,Kathy Hochul,Friends for Kathy Hochul,170302,686
16477459734,League of Conservation Voters,"LEAGUE OF CONSERVATION VOTERS, INC",165425,581
49651563727,Live Action,Live Action,164794,523
1615615415135060,Brad Raffensperger,"Brad for Georgia SOS, Inc.",164182,90
101743625780251,Truckers for Freedom,"GREAT AMERICAN PATRIOT PROJECT, INC",162682,243
109396544993347,Save America,Future Tech Product,162190,792
119707748062556,Ron Johnson,"RON JOHNSON FOR SENATE, INC",161788,134
158791100909689,Concerned Veterans for America,Concerned Veterans for America,159563,107
345234251112,Judicial Crisis Network,Judicial Crisis Network,157307,4
106900438526618,Our America Living,Our America Living,156333,1612
51405613519,Focus on the Family,Focus on the Family,151728,425
215653202574079,Future Majority,"Future Majority, Inc",150356,27
6500552187,Hulu,"HULU, LLC",150000,8
7341997111,Conservation International,Conservation International,149202,359
1780867608827439,H Fisk Johnson,"S. C. Johnson & Son, Inc.",147125,56
314808986017,John Boozman,BOOZMAN FOR ARKANSAS,145843,83
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC",145524,597
293807357774812,Run for Something Action Fund,Run For Something,145158,81
15239367801,The Wilderness Society,"WILDERNESS SOCIETY, THE",143782,522
187005858017014,Climate Power,Climate Power,143673,55
58736997707,Marco Rubio,Marco Rubio for Senate,143533,257
166618413413767,Jay Sekulow,American Center for Law and Justice,143532,191
829786213807107,"SC Johnson, A Family Company","S. C. Johnson & Son, Inc.",142251,108
422429638136363,Mike Gibbons,GIBBONS FOR OHIO,141022,140
376638603087168,Save The Earth,8 Billion Trees LLC,140548,25
157448993073554,Jesse Sullivan,Sullivan for Illinois,140185,648
376776419037747,Turning Point USA,"Turning Point USA, Inc.",139590,171
597598270623363,Florida Clean Energy Program,Silverback Marketing INC,139486,57
110647840532680,Merge Mayor,These ads ran without a disclaimer,136544,4
116546288359245,Heritage Action for America,HERITAGE ACTION FOR AMERICA,136359,288
132066233534659,Healthcare Education Project,Healthcare Education Project,133561,96
113747878647316,New York State Office of Children and Family Services,New York State Office of Children and Family Services,132985,33
32682889528,U.S. Chamber of Commerce,The U.S. Chamber of Commerce,132791,238
108173075911611,National Association of Letter Carriers,National Association of Letter Carriers,132367,48
33110852384,Doctors Without Borders/Médecins Sans Frontières (MSF),These ads ran without a disclaimer,130921,304
100801038449520,Natural Allies for a Clean Energy Future,"Natural Allies, Inc.",129702,329
1456310534453054,Veteran Loans Online,"LMB OpCo, LLC",128815,212
100689592336419,Homes Panel,Homes Panel,128766,205
101497941620428,MolinaCares,The MolinaCares Accord,126416,194
106559638427204,Tina Kotek for Oregon,Friends of Tina Kotek,126137,179
103539998955496,Arkansas Tourism Alliance,Arkansas Tourism Alliance,124507,122
2602473023098666,Democratic Polling Center,Democratic Governors Association,122938,80
104856814505092,The Kids Guide,The Kids Guide,122400,69
25121889784,Texas Public Policy Foundation,Texas Public Policy Foundation,121461,401
292351509697,Jerusalem Prayer Team,Jerusalem Prayer Team,121396,616
103890201865069,Joe Lombardo for Governor,Lombardo for Governor,120434,45
110746996993983,The 'Gander Newsroom,"Courier Newsroom, Inc.",120414,168
114625730266879,The Republican Accountability Project,Defending Democracy Together,119696,161
105308481683326,Nathan Hochman for Attorney General 2022,Nathan Hochman For Attorney General 2022,118879,171
367292494407,AJC - American Jewish Committee,AMERICAN JEWISH COMMITTEE,118076,316
298883911254,Degree,Unilever,117725,13
101431588985210,My Florida Green,FL Green Development LLC,117330,39
745304825534862,Steve Scalise,Team Scalise,117089,572
103387588977335,Open Democracy PAC,Open Democracy PAC,116329,27
109520054693011,Trump Updates,Save America Joint Fundraising Committee,115822,629
533987556776948,Campaign for Sustainable Rx Pricing,Campaign for Sustainable Rx Pricing,115494,123
238142787549374,Teddy Kapur,Teddy Kapur for City Attorney 2022,113735,14
679171239164792,Supermajority,Supermajority,112246,1257
344690446467832,The Copper Courier,"Courier Newsroom, Inc.",111149,167
103552914774916,Science Moms,Potential Energy Coalition Inc,111140,178
7263476274,Mercy Corps,Mercy Corps,111124,347
114710126648118,Republican Dogs,Republican Dogs,111003,1795
783753138471485,JB Pritzker,JB for Governor,110397,173
320509205167290,Illinois Daily,JB for Governor,110106,134
196395247518,Ned Lamont,NED FOR CT,109083,182
57495285387,Michael Bennet,Bennet for Colorado,108438,487
25852730092,Care2,Care2 Inc,107694,761
51379424899,Mercy Ships,MERCY SHIPS INTERNATIONAL,107683,131
227594571444676,Building New York's Best,"Carpenter Contractor Alliance of Metropolitan New York, Inc.",107470,506
585942765164217,Elect Democratic Women,ELECT DEMOCRATIC WOMEN,106976,87
22067606728,Allen West,The Association of Mature American Citizens Inc,106820,30
443329669123990,USAFacts,USAFacts Institute,106745,290
106582544906565,Maine Affordable Energy,Maine Affordable Energy,106570,125
103048587920360,DMFI PAC,DMFI PAC,106563,26
916908791847627,Prosperity Michigan,Prosperity Michigan,105934,72
47710973068,Voices for Cooperative Power,Voices for Cooperative Power,103646,111
101403132275465,Bill McSwain,McSwain for Governor,103415,47
2278338985596482,House Majority Forward,House Majority Forward,103061,14
216397232833,Penzeys Spices,Penzeys Ltd,102866,245
90486735811,Audible,Audible,102486,24
108973117329910,Abortion Care Reality Project,Abortion Care Reality Project,102190,565
