Page ID,Page name,Disclaimer,Amount spent (BRL)
100645801775860,Douglas Cham,Douglas Amaral,≤100
113455336434,Centro de Liderança Pública,CLP - Centro de Liderança Pública,≤100
1490922331155430,Unicursos Curitiba,Matheus Correa,≤100
161057060743744,João Paulo,Joao Paulo Lima E Silva,≤100
106679004499022,Alex Silva,Alexsandro Barbosa Da Silva,≤100
101917208637406,Mateiro Wood,These ads ran without a disclaimer,≤100
1719065568387903,Vereador Pedro Pericar,Pedro Ricardo Souza Campos,≤100
543976869060611,Dep. Wanderson Florêncio,Wanderson Florêncio,≤100
888019181271013,Alex Wehrle,Alex Wehrle,≤100
451529005002853,SINDSSE/DF,SINDICATO DOS SERVIDORES DA CARREIRA SOCIOEDUCATIVA DO DISTRITO FEDERAL,≤100
138889186284228,Marcio Pacheco,Marcio Jose Ramos,≤100
289400781500423,Acamosc,ACAMOSC,≤100
109291938201674,Gustavo Henrique Bueno,Gustavo Bueno,≤100
166895927575141,Imóveis Minha Casa Minha Vida,These ads ran without a disclaimer,≤100
129125850959364,Daniel José,Daniel Jose Da Silva Oliveira,≤100
1716343761952936,Paulinho Motos Loja,Paulo Martins,≤100
101275124627030,redangel2021,These ads ran without a disclaimer,≤100
969505459842713,ADUFSCar Sindicato,These ads ran without a disclaimer,≤100
116420803553163,Jingles Super Chiclete,Paulo Magalhaes,≤100
526251447881961,Diplomacia para Democracia,Diplomacia para democracia,≤100
452002271667289,ADAM PG,Adam Dutra Machado,≤100
109936550872440,Dr. Pedro Awada,Pedro Awada,≤100
0,Instagram User 7981782288,These ads ran without a disclaimer,≤100
104646521174665,Cassiano Maia,Cassiano Rojas Maia,≤100
103499548687874,Arena Beach Lafaiete,These ads ran without a disclaimer,≤100
303942650339768,Jocimar dos Santos,Jocimar dos Santos,≤100
0,Instagram User 4456935535,These ads ran without a disclaimer,≤100
453445741491458,Sudoeste MS,Helio Martins Fialho De Souza,≤100
103796585574481,Chapa1 - Adufes Viva e Democrática,Mirela Canosa,≤100
103329102364963,Diego Madeiro Melo,Diego Melo,≤100
184948081656256,Paulo Foletto,PAULO ROBERTO FOLETTO,≤100
190487761082811,Marcelo Werner,Marcelo Werner,≤100
